STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo hiểm - Tài chính 7340207,20.0,"A00, A01, D01",,
2.0,Công tác xã hội 7760101,23.5,"A00, A01, C00, D01",,
3.0,Hệ thống thông tin 7340405,20.0,"A00, A01, D01",,
4.0,Kế toán 7340301,21.9,"A00, A01, D01",,
5.0,Kinh tế 7310101,21.6,"A00, A01, D01",,
6.0,Luật kinh tế 7380107,21.75,"A00, A01, D01",,
7.0,Ngôn ngữ Anh 7220201,23.0,"A01, D01, D07, D14",,
8.0,Quản trị Kinh doanh 7340101,20.75,"A00, A01, D01",,
9.0,Quản trị nhân lực 7340404,23.0,"A00, A01, D01",,
10.0,Tài chính – Ngân hàng 7340201,22.6,"A00, A01, D01",,
11.0,Tâm lý học 7310401,25.8,"A00, A01, C00, D01",,
