STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bất động sản 7340116,19.4,,,
2.0,Hệ thống thông tin 7340405,18.8,,,
3.0,Kế toán 7340301Q,16.45,,,
4.0,Kế toán 7340301,21.9,,,
5.0,Kế toán (CT chất lượng cao) 7340301C,27.2,,,
6.0,Kinh doanh quốc tế 7340120Q,20.0,,,
7.0,Kinh doanh quốc tế (Chương trình chất lượng cao) 7340120C,20.0,,,
8.0,Marketing 7340115C,19.2,,,
9.0,Marketing (dạy bằng tiếng Anh) 7340115,24.5,,,
10.0,Marketing 7340115Q,18.5,,,
11.0,Ngành Kinh doanh quốc tế 7340120,23.7,,,
12.0,Ngôn ngữ Anh 7220201,20.0,,,"Môn Tiếng Anh hệ số 2, đã quy đổi"
13.0,Quản trị khách sạn 7810201C,17.8,,,
14.0,Quản trị khách sạn 7810201,22.3,,,
15.0,Quản trị doanh nghiệp 7340101,22.3,,,
16.0,Quản trị dịch vụ du lịch và lữ hành 7810103,21.67,,,
17.0,Quản trị kinh doanh 7340101C,19.0,,,
18.0,Quản trị kinh doanh 7340101Q,18.7,,,
19.0,Quản trị nhà hàng và dịch vụ ăn uống 7810202,21.2,,,
20.0,Tài chính – Ngân hàng (Chương trình chất lượng cao) 7340201C,17.0,,,
21.0,Tài chính – Ngân hàng 7340201,21.1,,,
