STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,17.5,,,
2.0,Công nghệ thông tin C480201,15.25,,,
3.0,Đông phương học 7220213,20.0,,,
4.0,Giới và phát triển 7340103,24.0,,,
5.0,Kế toán 7340301,23.0,,,
6.0,Luật kinh tế 7380107,18.25,,,
7.0,Ngành Kinh doanh quốc tế 7340120,26.0,,,
8.0,Ngôn ngữ Anh 7220201,26.75,,,
9.0,Ngôn ngữ Trung Quốc 7220204,18.5,,,
10.0,Quản trị khách sạn 7340107,25.5,,,
11.0,Quản trị doanh nghiệp 7340101,24.5,,,
12.0,Quan hệ quốc tế 7310206,26.0,,,
13.0,Tài chính – Ngân hàng 7340201,24.0,,,
14.0,Tiếng Trung C220204,16.25,,,
15.0,Tiếng Anh C220201,23.5,,,
