STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ cơ điện tử C510203,12.0,,,
2.0,"Công nghệ kĩ thuật điện tử, truyền thông C510302",12.0,,,
3.0,Công nghệ thông tin 7480201,15.0,,,
4.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.0,,,
5.0,"Công nghệ kĩ thuật điện, điện tử C510301",12.0,,,
6.0,Công nghệ thực phẩm C540102,12.0,,,
7.0,Công nghệ kĩ thuật công trình xây dựng C510102,12.0,,,
8.0,Công nghệ thông tin C480201,12.0,,,
9.0,Công nghệ kỹ thuật cơ điện tử 7510203,15.0,,,
10.0,Điện tử - viễn thông 7510302,15.0,,,
11.0,Kỹ thuật xây dựng 7580201,15.0,,,
12.0,Kỹ thuật thực phẩm 7540102,15.0,,,
13.0,Quản trị kinh doanh C340101,12.0,,,
14.0,Quản trị doanh nghiệp 7340101,15.0,,,
15.0,Thiết kế công nghiệp 7210402,15.0,,,
16.0,Thiết kế công nghiệp C210402,12.0,,,
