STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Biến đổi khí hậu và phát triển bền vững 7440298,15.5,,,xét học bạ 18.5
2.0,Công nghệ thông tin 7480201,18.25,,,xét học bạ 22.5
3.0,Công nghệ kỹ thuật Môi trường 7510406,17.0,,,xét học bạ 20
4.0,Địa chất học 7440201,15.5,,,xét học bạ 18.5
5.0,Hệ thống thông tin 7480104,17.0,,,xét học bạ 20
6.0,Khí tượng và khí hậu học 7440221,15.5,,,xét học bạ 18.5
7.0,Kinh tế tài nguyên thiên nhiên 7850102,15.5,,,xét học bạ 19
8.0,Kỹ thuật trắc địa – bản đồ 7520503,15.5,,,xét học bạ 18.5
9.0,Kỹ thuật cấp thoát nước 7580213,15.5,,,xét học bạ 18.5
10.0,Kỹ thuật tài nguyên nước 7580212,15.5,,,xét học bạ 18.5
11.0,Quản lý tài nguyên và môi trường biển đảo* 7850197,15.5,,,xét học bạ 18.5
12.0,Quản lý tài nguyên và môi trường 7850101,18.5,,,xét học bạ 22.5
13.0,Quản lý đất đai 7850103,18.5,,,xét học bạ 22.5
14.0,Quản trị doanh nghiệp 7340101,19.0,,,xét học bạ 24
15.0,Quản lý tài nguyên khoáng sản 7850196,,,,
16.0,Quản lý tổng hợp tài nguyên nước 7850195,15.5,,,xét học bạ 18.5
17.0,Thủy văn học 7440224,15.5,,,xét học bạ 18.5
