STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo hộ lao động 7850201,23.0,,26400000.0,
2.0,Công tác xã hội 7760101,25.3,,22550000.0,
3.0,Công nghệ kỹ thuật Môi trường 7510406,22.0,,26400000.0,
4.0,Công nghệ sinh học 7420201,26.5,,26400000.0,
5.0,Công nghệ sinh học - Chất lượng cao giảng dạy 100% tiếng Anh FA7420201,24.0,,59743000.0,
6.0,Công nghệ sinh học - Chất lượng cao giảng dạy bằng tiếng Anh - Việt F7420201,22.0,,40250000.0,
7.0,ĐH Toán ứng dụng 7460112,31.1,,22550000.0,
8.0,Du lịch 7310630,31.8,,22550000.0,
9.0,Dược học 7720201,33.2,,50600000.0,
10.0,Golf 7810302,23.0,,45855000.0,
11.0,Kế toán (chuyên ngành: Kế toán quốc tế) - Chất lượng cao giảng dạy 100% tiếng Anh FA7340301,24.0,,58321000.0,
12.0,Kế toán - Chất lượng cao F7340301,29.2,,39890000.0,
13.0,Kế toán 7340301,33.3,,22550000.0,
14.0,Khoa học máy tính 7480101,35.0,,26400000.0,
15.0,Khoa học môi trường 7440301,22.0,,26400000.0,
16.0,Khoa học máy tính - Chất lượng cao giảng dạy 100% tiếng Anh FA7480101,24.0,,59846000.0,
17.0,Khoa học máy tính - Chất lượng cao giảng dạy bằng tiếng Anh - Việt F7480101,34.5,,41329000.0,
18.0,Kiến trúc 7580101,26.0,,26400000.0,
19.0,Kinh doanh quốc tế - học bằng tiếng Anh FA7340120,27.0,,60297000.0,
20.0,Kinh doanh quốc tế - Chất lượng cao giảng dạy bằng tiếng Anh - Việt F7340120,32.8,,48114000.0,
21.0,Kỹ thuật phần mềm - Chất lượng cao giảng dạy 100% tiếng Anh FA7480103,24.0,,59537000.0,
22.0,Kỹ thuật điện tử - viễn thông - Chất lượng cao giảng dạy bằng tiếng Anh - Việt F7520207,22.0,,40790000.0,
23.0,Kỹ thuật phần mềm - Chất lượng cao giảng dạy bằng tiếng Anh - Việt F7480103,34.5,,40790000.0,
24.0,Kỹ thuật phần mềm 7480103,35.4,,26400000.0,
25.0,Kỹ thuật xây dựng - Chất lượng cao giảng dạy 100% tiếng Anh FA7580201,24.0,,58605000.0,
26.0,Kỹ thuật xây dựng - Chất lượng cao giảng dạy bằng tiếng Anh - Việt F7580201,22.0,,40250000.0,
27.0,Kỹ thuật cơ điện tử 7520114,28.5,,26400000.0,
28.0,Kỹ thuật điều khiển và tự động hóa - Chất lượng cao giảng dạy 100% tiếng Anh FA7520216,24.0,,59640000.0,
29.0,Kỹ thuật điều khiển và tự động hóa (Chất lượng cao) F7520216,25.0,,40790000.0,
30.0,Kỹ thuật hóa học 7520301,28.5,,26400000.0,
31.0,Kỹ thuật điện -Chất lượng cao giảng dạy bằng tiếng Anh - Việt F7520201,22.0,,40790000.0,
