STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thực phẩm 7540101,18.35,,,
2.0,Công nghệ sinh học 7420201,20.0,,,
3.0,Công nghệ thông tin 7480201,22.0,,,
4.0,Đông phương học 7310608,21.0,,,
5.0,Du lịch 7810101,21.0,,,
6.0,Du lịch 7310630,20.25,,,
7.0,Kế toán 7340301,22.0,,,
8.0,Khoa học máy tính 7480101,21.05,,,
9.0,Kinh tế 7310101,20.05,,,
10.0,Logistics và Quản lý chuỗi cung ứng 7510605,22.0,,,
11.0,Ngành Luật 7380101,21.05,,,
12.0,Ngành Kỹ thuật điện tử truyền thông 7520207,21.35,,,
13.0,Ngôn ngữ Anh 7220201,22.0,,,
14.0,Ngôn ngữ Trung Quốc 7220204,21.0,,,
15.0,Ngôn ngữ Nhật 7220209,21.0,,,
16.0,Ngôn ngữ Pháp 7220203,21.0,,,
17.0,Quản trị doanh nghiệp 7340101,23.0,,,
18.0,Quan hệ công chúng 7320108,23.0,,,
19.0,Quản trị khách sạn 7810201,21.0,,,
20.0,Quản trị dịch vụ du lịch và lữ hành 7810103,22.0,,,
21.0,Tài chính – Ngân hàng 7340201,22.0,,,
22.0,Tâm lý học 7310401,22.0,,,
23.0,Thương mại điện tử 7340122,22.0,,,
24.0,Truyền thông đa phương tiện 7320104,21.0,,,
25.0,Văn học 7229030,22.0,,,
26.0,Văn hoá học 7229040,20.75,,,
27.0,Xã hội học 7310301,21.0,,,
