STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,15.0,,,
2.0,Công nghệ kỹ thuật Môi trường 7510406,15.0,,,
3.0,Công nghệ sinh học 7420201,15.0,,,
4.0,Công nghệ kỹ thuật ô tô 7510205,16.0,,,
5.0,Điều dưỡng 7720301,18.0,,,
6.0,Đông phương học 7310608,19.0,,,
7.0,Dược học 7720201,20.0,,,
8.0,Kế toán 7340301,15.0,,,
9.0,Kiến trúc 7580101,15.0,,,"Vẽ Mỹ thuật hệ số 2, đã quy đổi"
10.0,Kinh doanh thương mại 7340121,15.0,,,
11.0,Kỹ thuật xây dựng công trình giao thông 7580205,15.0,,,
12.0,Kỹ thuật phần mềm 7480103,15.0,,,
13.0,"Kỹ thuật nhiệt (3 chuyên ngành: Kỹ thuật điện lạnh; Máy lạnh, điều hòa không khí và thông gió; Máy lạnh và thiết bị thực phẩm) 7520115",15.0,,,
14.0,Kỹ thuật xét nghiệm y học 7720601,18.0,,,
15.0,Kỹ thuật xây dựng 7580201,15.0,,,
16.0,Luật kinh tế 7380107,15.0,,,
17.0,Ngôn ngữ Anh 7220201,16.5,,,"Môn Tiếng Anh hệ số 2, đã quy đổi"
18.0,Piano 7210208,18.0,,,"Môn Năng khiếu hệ số 2, đã quy đổi"
19.0,Quản trị khách sạn 7810201,17.0,,,
20.0,Quản trị dịch vụ du lịch và lữ hành 7810103,16.0,,,
21.0,Quản lý xây dựng 7580302,15.0,,,
22.0,Quản trị doanh nghiệp 7340101,15.5,,,
23.0,Quan hệ công chúng 7320108,17.0,,,
24.0,Tài chính – Ngân hàng 7340201,15.0,,,
25.0,Tâm lý học 7310401,17.0,,,
26.0,Thanh nhạc 7210205,21.0,,,"Môn Năng khiếu hệ số 2, đã quy đổi"
27.0,Thiết kế thời trang 7210404,19.0,,,"Vẽ năng khiếu hệ số 2, đã quy đổi"
28.0,Thiết kế nội thất 7580108,15.0,,,"Vẽ năng khiếu hệ số 2, đã quy đổi"
29.0,Thiết kế đồ họa 7210403,20.5,,,"Vẽ năng khiếu hệ số 2, đã quy đổi"
30.0,Thiết kế công nghiệp 7210402,15.0,,,"Vẽ năng khiếu hệ số 2, đã quy đổi"
31.0,Văn học 7229030,15.0,,,
