STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,15.5,,,
2.0,Công nghệ thông tin 7480201,18.0,,,Chương trình tài năng
3.0,Đông phương học 7310608,15.0,,,
4.0,Kế toán 7340301,15.0,,,
5.0,Kỹ thuật phần mềm 7480103,15.0,,,
6.0,Logistics và Quản lý chuỗi cung ứng 7510605,15.0,,,
7.0,Mạng máy tính và truyền thông dữ liệu 7480102,15.0,,,
8.0,Marketing (dạy bằng tiếng Anh) 7340115,18.0,,,Chương trình tài năng
9.0,Marketing (dạy bằng tiếng Anh) 7340115,15.0,,,
10.0,Ngành Kinh doanh quốc tế 7340120,18.0,,,Chương trình tài năng
11.0,Ngành Luật 7380101,15.0,,,
12.0,Ngành Kinh doanh quốc tế 7340120,15.0,,,
13.0,Ngôn ngữ Anh 7220201,15.0,,,
14.0,Ngôn ngữ Anh 7220201,18.0,,,Chương trình tài năng
15.0,Quản trị doanh nghiệp 7340101,18.0,,,Chương trình tài năng
16.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.0,,,
17.0,Quan hệ công chúng 7320108,15.0,,,
18.0,Quản trị khách sạn 7810201,15.0,,,
19.0,Quản trị doanh nghiệp 7340101,15.0,,,
20.0,Tài chính – Ngân hàng 7340201,15.0,,,
21.0,Thương mại điện tử 7340122,15.0,,,
22.0,Truyền thông đa phương tiện 7320104,15.0,,,
