STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Cơ khí ôtô (ngành Kỹ thuật cơ khí) GHA-17,,,,
2.0,Công trình giao thông đô thị (ngành Kỹ thuật xây dựng CTGT) GHA-09,,,,
3.0,Công nghệ kỹ thuật giao thông GHA-30,,,,
4.0,Công trình giao thông công chính (ngành Kỹ thuật xây dựng CTGT) GHA-08,,,,
5.0,Khai thác vận tải GHA-26,,,,
6.0,Kinh tế xây dựng (Chương trình CLC: Kinh tế xây dựng công trình Giao thông Việt - Anh) GHA-34,,,,
7.0,Kỹ thuật điện GHA-21,,,,
8.0,Kỹ thuật XD Đường sắt (ngành Kỹ thuật xây dựng CTGT) GHA-04,,,,
9.0,Kỹ thuật xây dựng (Chương trình CLC: Vật liệu và Công nghệ Việt - Pháp) GHA-33,,,,
10.0,Kỹ thuật XD Cầu - Đường ô tô - Sân bay (ngành Kỹ thuật xây dựng CTGT) GHA-06,,,,
11.0,Kỹ thuật giao thông đường bộ (ngành Kỹ thuật xây dựng CTGT) GHA-11,,,,
12.0,Kỹ thuật XD Cầu - Đường sắt (ngành Kỹ thuật xây dựng CTGT) GHA-05,,,,
13.0,Kỹ thuật xây dựng công trình giao thông (Chương trình CLC: Cầu - Đường bộ Việt - Anh; Cầu - Đường bộ Việt - Pháp; Công trình GTĐT Việt - Nhật; Chương trình tiên tiến) GHA-32,,,,
14.0,Kỹ thuật xây dựng (gồm các chuyên ngành: Xây dựng dân dụng và công nghiệp; Kết cấu xây dựng; Kỹ thuật hạ tầng đô thị; Vật liệu và công nghệ xây dựng) GHA-15,,,,
15.0,Kỹ thuật điện tử - viễn thông GHA-20,,,,
16.0,Kỹ thuật điều khiển và tự động hoá GHA-22,,,,
17.0,Kỹ thuật XD Cầu đường bộ (ngành Kỹ thuật xây dựng CTGT) GHA-01,,,,
18.0,Kỹ thuật XD Cầu hầm (ngành Kỹ thuật xây dựng CTGT) GHA-03,,,,
19.0,Kỹ thuật nhiệt GHA-19,,,,
20.0,Kỹ thuật XD Đường bộ (ngành Kỹ thuật xây dựng CTGT) GHA-02,,,,
21.0,Kỹ thuật XD Đường ô tô - Sân bay (ngành Kỹ thuật xây dựng CTGT) GHA-07,,,,
22.0,Kỹ thuật xây dựng công trình thủy GHA-14,,,,
23.0,Ngành kĩ thuật cơ khí (nhóm kĩ thuật cơ khí gồm các chuyên ngành: Công nghệ chế tạo cơ khí; Tự động hóa thiết kế cơ khí; Cơ điện tử GHA-16,,,,
24.0,Ngành Kỹ thuật xây dựng công trình giao thông (Nhóm chuyên ngành: Cầu hầm. Đường hầm và metro) GHA-23,,,,
25.0,Ngành Kinh tế xây dựng (gồm 2 chuyên ngành: Kinh tế quản lý khai thác cầu đường. Kinh tế xây dựng công trình giao thông) GHA-28,,,,
26.0,Ngành Kỹ thuật điều khiển và tự động hoá GSA-05,17.3,,,Tiêu chí phụ: TO>=5.8; TTNV <=4
27.0,Ngành Kế toán (Chuyên ngành kế toán tổng hợp) GSA-07,18.7,,,Tiêu chí phụ: TO>=6.2; TTNV <=1
28.0,Ngành Quản trị kinh doanh (chuyên ngành quản trị kinh doanh giao thông vận tải) GSA-12,18.0,,,Tiêu chí phụ: TO>=6; TTNV <=3
