STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỳ thuật ỏ tô (hệ Chat lượng cao ticng Anh) 7510205A,24.0,"A00, A01, D01, D07",,
2.0,Công nghệ thông tin CTTT chuyên ngành Smart Logistics 748020105A,18.0,"A00, A01, D01, D07",,
3.0,Công nghệ thông tin học bằng tiếng Anh 748020101E,16.0,"A00, A01, D01, D07",,
4.0,Công nghệ thông tin CTTT chuyên ngành Khoa học dữ liệu và AI 748020104A,21.5,"A00, A01, D01, D07",,
5.0,Công nghệ thông tin CTTT 748020101A,21.5,"A00, A01, D01, D07",,
6.0,Công nghỹ kỳ thuật điều khicn và lự động hoả (hệ Chat lượng cao ticng Anh) 7510303A,24.0,"A00, A01, D01, D07",,
7.0,Công nghệ kỹ thuật giao thông CTTT chuyên ngành Quy hoạch và quản lý giao thông; Logistics và hạ tầng giao thông 7510104A,19.0,"A00, A01, D01, D07",,
8.0,Công nghệ kỳ thuật cơ khi (hệ Chát lượng cao tiếng Anh) 7510201A,23.0,"A00, A01, D01, D07",,
9.0,Công nghệ thông tin CTTT chuyên ngành Công nghệ ôtô số 748020106A,17.0,"A00, A01, D01, D07",,
10.0,Hệ thống thông tin quản lý CTTT 7340405A,21.5,"A00, A01, D01, D07",,
11.0,Khai thái vận tải CTTT 784010101A,22.0,"A00, A01, D01, D07",,
12.0,Khai thái vận tải CTTT chuyên ngành Quản lý và kinh doanh vận tải 784010102A,22.0,"A00, A01, D01, D07",,
13.0,Khoa học hàng hải CTTT chuyên ngành Quản lý cảng và logistics 784010609A,21.0,"A00, A01, D01, D07",,
14.0,Khoa học hàng hải (chuyên ngành Khai thác máy tàu thủy và quản lý kỹ thuật) 784010607,16.0,"A00, A01, D01, D07",,
15.0,Khoa học hàng hải CTTT 784010604A,20.0,"A00, A01, D01, D07",,
16.0,Khoa học dữ liệu CTTT 7460108A,24.0,"A00, A01, D01, D07",,
17.0,Khoa học hàng hải (chuyên ngành Điều khiển và quản lý tàu biển) 784010606,16.0,"A00, A01, D01, D07",,
18.0,"Kĩ thuật điện tử, truyền thông 7520207A",20.0,"A00, A01, D01, D07",,
19.0,Kinh tế xây dựng CTTT chuyên ngành Kinh tế và quản lý bất động sản 758030103A,19.0,"A00, A01, D01, D07",,
20.0,Kinh tế vận tải biển CTTT 784010401A,22.0,"A00, A01, D01, D07",,
21.0,Kinh tế xây dựng CTTT 758030101A,19.0,"A00, A01, D01, D07",,
22.0,Kinh tế vận tải hàng không CTTT 784010402A,22.0,"A00, A01, D01, D07",,
23.0,Kỹ thuật xây dựng 7580201,19.0,"A00, A01, D01, D07",,
24.0,"Kỹ thuật ôtô CTTT chuyên ngành Cơ khí ô tô, Cơ điện tử ô tô 7520130A",22.0,"A00, A01, D01, D07",,
25.0,Kỹ thuật xây dựng công trình giao thông 7580205,17.0,"A00, A01, D01, D07",,
26.0,Kỹ thuật điện 7520201,20.0,"A00, A01, D01, D07",,
27.0,Kỹ thuật cơ khí (chuyên ngành Kỹ thuật cơ khí) 7520103A,19.0,"A00, A01, D01, D07",,
28.0,Kỹ thuật xây dựng công trình thủy 7580202,15.0,"A00, A01, D01, D07",,
29.0,Kỹ thuật điều khiển và tự động hóa CTTT 7520216A,20.0,"A00, A01, D01, D07",,
30.0,Logistics và quản lý chuỗi cung ứng CTTT 7510605A,24.0,"A00, A01, D01, D07",,
31.0,Logistics và quản lý chuỗi cung ứng học bằng tiếng Anh 7510605E,17.0,"A00, A01, D01, D07",,
32.0,Mạng máy tính và truyền thông dữ liệu CTTT 7480102A,20.0,"A00, A01, D01, D07",,
33.0,Ngành Kỹ thuật môi trường 7520320,19.0,"A00, A01, B00, D01",,
34.0,Ngành Kỹ thuật tàu thủy 7520122,15.0,"A00, A01, D01, D07",,
35.0,Ngành Luật 7380101,21.0,"A01, D01, D14, D15",,
36.0,Ngành Khoa học Hàng hải 7840106,19.0,"A00, A01, D01, D07",,
37.0,Ngôn ngữ Anh học bằng tiếng Anh 7220201E,16.5,"A01, D01, D14, D15",,
38.0,Ngôn ngữ Anh 7220201,24.5,"A01, D01, D14, D15",,
39.0,Quản lý xây dựng CTTT 7580302A,19.0,"A00, A01, D01, D07",,
