STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật xây dựng dân dụng và công nghiệp 7510102,16.0,,,
2.0,Công nghệ thông tin 7480201,18.0,,,
3.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,16.0,,,
4.0,Điện tử - viễn thông 7510302,16.0,,,
5.0,Kỹ thuật hàng không 7520120,21.5,,,
6.0,Ngành Kinh tế vận tải 7840104,19.0,,,
7.0,Ngôn ngữ Anh 7220201,19.0,,,
8.0,Quản trị nhân lực 7340404,19.0,,,
9.0,Quản lý hoạt động bay 7840102,24.2,,,
10.0,Quản trị dịch vụ du lịch và lữ hành 7810103,21.0,,,
11.0,Quản trị doanh nghiệp 7340101,19.0,,,
12.0,Quản trị kinh doanh - Tiếng Anh 7340101E,19.0,,,
