STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,An toàn thông tin 7480202,15.0,,,
2.0,Công nghệ thông tin (Chương trình liên kết với Đại học nước ngoài) 7480201_LK,15.0,,,
3.0,Công nghệ điện ảnh. truyền hình 7210302,15.0,,,
4.0,Công nghệ thông tin 7480201,16.0,,,
5.0,Điều dưỡng 7720301,18.0,,,
6.0,Du lịch 7310630,15.0,,,
7.0,Dược học 7720201,20.0,,,
8.0,Giáo dục Thể chất 7140206,18.0,,,
9.0,Giáo dục Mầm non 7140201,18.0,,,
10.0,Hàn Quốc học 7310614,15.0,,,
11.0,Kế toán 7340301,15.0,,,
12.0,Khoa học môi trường 7440301,15.0,,,
13.0,Kiến trúc 7580101,15.0,,,
14.0,Kinh tế 7310101,15.0,,,
15.0,Kỹ thuật xét nghiệm y học 7720601,18.0,,,
16.0,Kỹ thuật xây dựng 7580201,15.0,,,
17.0,Kỹ thuật phục hồi chức năng 7720603,18.0,,,
18.0,Kỹ thuật điện 7520201,15.0,,,
19.0,Kỹ thuật xây dựng công trình giao thông 7580205,15.0,,,
20.0,Logistics và quản lý chuỗi cung ứng 7210605,17.0,,,
21.0,Luật kinh tế 7380107,15.0,,,
22.0,Ngành Kỹ thuật điện tử truyền thông 7520207,15.0,,,
23.0,Ngành Luật 7380101,15.0,,,
24.0,Ngôn ngữ Anh 7220201,16.0,,,
25.0,Nhật Bản học 7310613,15.0,,,
26.0,Quản trị doanh nghiệp 7340101,16.0,,,
27.0,Quản trị khách sạn (chương trình liên kết với Đại học nước ngoài) 7810201_LK,15.0,,,
28.0,Quản trị kinh doanh (Chương trình liên kết với Đại học nước ngoài) 7340101_LK,15.0,,,
29.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.0,,,
30.0,Quan hệ quốc tế 7310206,15.0,,,
31.0,Quản trị khách sạn 7810201,16.0,,,
32.0,Răng- Hàm -Mặt 7720501,21.0,,,
33.0,Tài chính – Ngân hàng 7340201,15.0,,,
34.0,Thiết kế đồ họa 7210403,15.0,,,
35.0,Thiết kế công nghiệp 7210402,15.0,,,
36.0,Thiết kế thời trang 7210404,15.0,,,
37.0,Trung Quốc học 7310612,15.0,,,
38.0,Truyền thông đa phương tiện 7320104,15.0,,,
