STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thực phẩm 7540101,14.0,,,
2.0,Công nghệ thông tin 7480201,16.5,,,
3.0,Công nghệ kỹ thuật Môi trường 7510406,14.0,,,
4.0,Kế toán 7340301,16.0,,,
5.0,Mạng máy tính và truyền thông dữ liệu 7480102,14.0,,,
6.0,Marketing (dạy bằng tiếng Anh) 7340115,18.8,,,
7.0,Ngành Kinh doanh quốc tế 7340120,17.8,,,
8.0,Ngôn ngữ Anh 7220201,18.5,,,"Nhân hệ số 2 môn Tiếng Anh và quy về thang điểm 30. Điểm thi môn Tiếng Anh chưa nhân hệ số phải đạt từ 5,00 điểm trở lên."
9.0,Nhóm ngành Quản trị - Quản lý (Gồm 3 ngành: Quản trị nhân lực; Hệ thống thông tin quản lý; Quản trị văn phòng) 73404,17.2,,,
10.0,Quản trị công nghệ truyền thông* 7340410,20.0,,,
11.0,Quản trị khách sạn 7810201,18.2,,,
12.0,Quản trị dịch vụ du lịch và lữ hành 7810103,18.5,,,
13.0,Quản trị doanh nghiệp 7340101,18.5,,,
14.0,Quản lý tài nguyên và môi trường 7850101,14.0,,,
15.0,Quản trị nhà hàng và dịch vụ ăn uống 7810202,19.2,,,
16.0,Tài chính – Ngân hàng 7340201,16.5,,,
17.0,Tâm lý học 7310401,16.5,,,
18.0,Thiết kế thời trang 7210404,19.0,,,
19.0,Thiết kế đồ họa 7210403,20.0,,,
20.0,Thiết kế nội thất 7580108,18.5,,,
