STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật môi trường 7510406C,15.0,,,
2.0,Công nghệ kỹ thuật hoá học (Chương trình chất lượng cao) 7510401C,15.0,,,
3.0,Công nghệ kỹ thuật điện tử - viễn Ihông 7510302C,15.0,,,
4.0,Công nghệ thực phẩm 7540101,18.0,,,
5.0,Công nghệ kỹ thuật nhiệt 7510206,16.5,,,
6.0,Công nghệ may 7540204,18.0,,,
7.0,Công nghệ kỹ thuật cơ điện tử 7510203C,17.5,,,
8.0,Công nghệ thông tin 7480201,18.75,,,
9.0,Công nghệ kỹ thuật cơ điện tử 7510203,19.0,,,
10.0,Công nghệ kỹ thuật cơ khí 7510201C,17.5,,,
11.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,19.0,,,
12.0,Công nghệ thực phẳm 7540101C,15.0,,,
13.0,"Công nghệ kỹ thuật điện, điện lử 7510301C",16.0,,,
14.0,Công nghệ kỹ thuật Môi trường 7510406,15.5,,,
15.0,Công nghệ kỹ thuật hoá học 7510401,16.0,,,
16.0,Công nghệ kỹ thuật ô tô 7510205,20.0,,,
17.0,"Công nghệ kỹ thuật điện, điện tử 7510301",18.0,,,
18.0,Công nghệ chế tạo máy 7510202C,16.25,,,
19.0,Công nghệ sinh học 7420201,17.0,,,
20.0,Công nghệ kỹ thuật máy tính 7480108,16.0,,,
21.0,Công nghệ chế tạo máy 7510202,18.0,,,
22.0,Đảm bảo chất lượng và an toàn thực phẩm 7540106,15.5,,,
23.0,Điện tử - viễn thông 7510302,16.0,,,
24.0,Dinh dưỡng và khoa học thực phẩm 7720497,15.5,,,
25.0,Kế toán 7340301,17.75,,,
26.0,Khoa học môi trường 7440301,15.5,,,
27.0,Kỹ thuật xây dựng 7580201,16.75,,,
28.0,Luật quốc tế 7380108,18.5,,,
29.0,Luật kinh tế 7380107,21.0,,,
30.0,Marketing (dạy bằng tiếng Anh) 7340115,19.0,,,
31.0,Ngành Kinh doanh quốc tế 7340120,20.0,,,
32.0,Ngành Kỹ thuật phần mềm (Hệ đại học Chất lượng cao) 7480103C,16.0,,,
33.0,Ngôn ngữ Anh 7220201,17.75,,,
34.0,Quản trị nhà hàng và dịch vụ ăn uống 7810202,18.75,,,
35.0,Quản trị dịch vụ du lịch và lữ hành 7810103,19.0,,,
36.0,Quản trị khách sạn 7810201,19.5,,,
37.0,Quản trị doanh nghiệp 7340101,18.25,,,
38.0,Quản lý tài nguyên và môi trường 7850101,15.5,,,
39.0,Tài chính – Ngân hàng 7340201,17.75,,,
40.0,Thiết kế thời trang 7210404,16.5,,,
41.0,Thương mại điện tử 7340122,18.0,,,
