STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,An toàn thông tin 7480202,24.8,"A00, A01, D01, D07",30712500.0,
2.0,Bảo hiểm 7340204,24.5,"A00, A01, D01, D07",30712500.0,
3.0,Bất động sản 7340116,24.5,"A00, A01, D01, D07",33547500.0,
4.0,Chuyên ngành Quản trị khách sạn 7810201_01,25.5,"A00, A01, D01, D07",30712500.0,
5.0,Chuyên ngành Đầu tư tài chính 7340201_06,26.03,"A00, A01, D01, D07",33547500.0,
6.0,Chuyên ngành Thuế trong kinh doanh 7340201_01,25.5,"A00, A01, D01, D07",33547500.0,Tài chính công
7.0,Chuyên ngành Ngân hàng đầu tư 7340201_03,25.6,"A00, A01, D01, D07",33547500.0,
8.0,Chuyên ngành Quản trị sự kiện và dịch vụ giải trí 7810201_02,26.1,"A00, A01, D01, D07",30712500.0,
9.0,Chuyên ngành Tài chính quốc tế 7340201_07,25.8,"A00, A01, D01, D07",33547500.0,Chuyên ngành Quản trị ngoại thương
10.0,Chuyên ngành Quản trị hải quan - ngoại thương 7340201_02,25.2,"A00, A01, D01, D07",33547500.0,Chuyên ngành thuế
11.0,Chuyên ngành Toán tài chính 7310108_01,25.72,"A00, A01, D01, D07",30712500.0,
12.0,Chuyên ngành Quản trị rủi ro tài chính và bảo hiểm 7340201_05,26.03,"A00, A01, D01, D07",33547500.0,Chuyên ngành Thị trường chứng khóa
13.0,Chuyên ngành Thị trường chứng khoán 7340201_04,25.0,"A00, A01, D01, D07",33547500.0,
14.0,Công nghệ phần mềm 7480201_01,25.4,"A00, A01, D01, D07",30712500.0,
15.0,Công nghệ Marketing 7340115_02,27.2,"A00, A01, D01, D07",30712500.0,Công nghệ marketing
16.0,Công nghệ Logistics (hệ kỹ sư) 7510605_02,26.3,"A00, A01, D01, D07",30712500.0,
17.0,Công nghệ tài chính 7340205,26.5,"A00, A01, D01, D07",30712500.0,
18.0,Công nghệ truyền thông 7320106,26.6,"A00, A01, D01, V00",30712500.0,Truyền thông số và thiết kế đa phương tiện
19.0,Cử nhân ASEAN Co-op ASA_Co-op,,,30712500.0,
20.0,Cử nhân Tài năng ISB BBus ISB_CNTN,,,30712500.0,
21.0,Điều khiển thông minh và tự động hóa (hệ kỹ sư) 7480107_02,23.8,"A00, A01, D01, D07",30712500.0,
22.0,Kế toán doanh nghiệp 7340301_01,25.2,"A00, A01, D01, D07",33547500.0,tích hợp chứng chỉ quốc tế
23.0,Kế toán doanh nghiệp_Chất lượng cao 7340301_03,25.4,"A00, A01, D01, D07",33547500.0,
24.0,Kế toán tài chính và kiểm soát 7340301_02,25.5,"A00, A01, D01, D07",33547500.0,Chuyên ngành Kế toán công
25.0,Khoa học máy tính 7480101,25.0,"A00, A01, D01, D07",30712500.0,
26.0,Khoa học dữ liệu (Data Science) 7460108,26.3,"A00, A01, D01, D07",30712500.0,
27.0,Kiểm toán 7340302,26.5,"A00, A01, D01, D07",33547500.0,
