STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Kĩ thuật xây dựng 7580208,20.0,,,
2.0,Kiến trúc cảnh quan 7580110,19.5,,,
3.0,Kiến trúc cảnh quan 7580102,20.75,,,
4.0,Kiến trúc (Đà Lạt) 7580102DL,15.0,,,
5.0,Kiến trúc (Cần Thơ) 7580102CT,16.5,,,
6.0,Kỹ thuật xây dựng (Đà Lạt) 7580208DL,15.0,,,
7.0,Kỹ thuật xây dựng (Cần Thơ) 7580208CT,15.5,,,
8.0,Kỹ thuật cơ sở hạ tầng 7580211,17.0,,,
9.0,Quy hoạch vùng và đô thị 7580105,18.25,,,
10.0,Thiết kế đồ họa 7210403,20.75,,,
11.0,Thiết kế công nghiệp 7210402,19.5,,,
12.0,Thiết kế thời trang 7210404,20.25,,,
13.0,Thiết kế nội thất (Cần Thơ) 7210405CT,15.25,,,
14.0,Thiết kế nội thất 7210405,20.75,,,
