STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Luật Thương mại Quốc tế 7380109,26.1,D84,,
2.0,Ngành Luật 7380101,24.57,A00,35250000.0,
3.0,Ngành Luật 7380101,27.27,C00,35250000.0,
4.0,Ngành Luật 7380101,23.77,A01,35250000.0,
5.0,Ngành Luật 7380101,24.27,"D01, D03, D06",,
6.0,Ngôn ngữ Anh 7220201,22.56,"D01, D14, D66, D84",37500000.0,
7.0,Quản trị - Luật 7340102,24.17,A00,41830000.0,
8.0,Quản trị - Luật 7340102,24.87,"A00, A01, D01, D84",35250000.0,
9.0,Quản trị Kinh doanh 7340101,22.56,"A00, A01, D01, D84",35250000.0,
10.0,Quản trị - Luật 7340102,23.87,D01,35250000.0,
11.0,Quản trị - Luật 7340102,23.37,A01,35250000.0,
