STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,CNKT công trình xây dựng CLC 7510102C,15.0,,,
2.0,Công tác xã hội 7760101,15.0,,,
3.0,Công nghệ sinh học 7420201,15.0,,,
4.0,Công nghệ kỹ thuật xây dựng dân dụng và công nghiệp 7510102,15.0,,,
5.0,Công nghệ thông tin 7480201,18.25,,,
6.0,Công nghệ sinh học 7420201C,15.0,,,
7.0,Đông Nam Á học 7310620,16.7,,,
8.0,Hệ thống thông tin 7340405,16.1,,,
9.0,Kế toán (CT chất lượng cao) 7340301C,15.25,,,
10.0,Kế toán 7340301,18.35,,,
11.0,Khoa học máy tính 7480101,17.0,,,
12.0,Kiểm toán 7340302,18.2,,,
13.0,Kinh tế 7310101,18.7,,,
14.0,Luật kinh tế 7380107,19.25,,,"Tổ hợp C00 cao hơn 1,5 điểm"
15.0,Luật kinh tế (CT chất lượng cao) 7380107C,17.0,,,
16.0,Marketing (dạy bằng tiếng Anh) 7340115,,,,
17.0,Ngành Luật 7380101,18.55,,,"Tổ hợp C00 cao hơn 1,5 điểm"
18.0,Ngành Kinh doanh quốc tế 7340120,20.65,,,
19.0,Ngôn ngữ Nhật 7220209,19.65,,,
20.0,Ngôn ngữ Anh (CTCLC) 7220201C,19.0,,,
21.0,Ngôn ngữ Anh 7220201,20.4,,,
22.0,Ngôn ngữ Trung Quốc 7220204,19.85,,,
23.0,Quản trị nhân lực 7340404,19.5,,,
24.0,Quản trị kinh doanh 7340101C,17.2,,,
25.0,Quản lý xây dựng 7580302,15.0,,,
26.0,Quản trị doanh nghiệp 7340101,19.4,,,
27.0,Tài chính – Ngân hàng (Chương trình chất lượng cao) 7340201C,15.25,,,
28.0,Tài chính – Ngân hàng 7340201,18.0,,,
29.0,Xã hội học 7310301,15.0,,,
