STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Điêu khắc 7210105,26.5,,,KV2NT
2.0,Điêu khắc 7210105,26.25,,,KV1
3.0,Điêu khắc 7210105,26.75,,,KV2
4.0,Điêu khắc 7210105,27.0,,,KV3
5.0,Đồ hoạ 7210104,28.25,,,KV2
6.0,Đồ hoạ 7210104,27.75,,,KV1
7.0,Đồ hoạ 7210104,28.5,,,KV3
8.0,Đồ hoạ 7210104,28.0,,,KV2NT
9.0,Hội hoạ 7210103,25.0,,,KV1
10.0,Hội hoạ 7210103,25.75,,,KV3
11.0,Hội hoạ 7210103,25.25,,,KV2NT
12.0,Hội hoạ 7210103,25.5,,,KV2
13.0,Lý luận. lịch sử và phê bình mỹ thuật 7210101,23.25,,,KV1
14.0,Lý luận. lịch sử và phê bình mỹ thuật 7210101,24.0,,,KV3
15.0,Lý luận. lịch sử và phê bình mỹ thuật 7210101,23.5,,,KV2NT
16.0,Lý luận. lịch sử và phê bình mỹ thuật 7210101,23.75,,,KV2
17.0,Sư phạm Mỹ thuật 7140222,28.8,,,KV3
18.0,Sư phạm Mỹ thuật 7140222,28.3,,,KV2NT
19.0,Sư phạm Mỹ thuật 7140222,28.05,,,KV1
20.0,Sư phạm Mỹ thuật 7140222,28.55,,,KV2
21.0,Thiết kế đồ họa 7210403,29.0,,,KV2
22.0,Thiết kế đồ họa 7210403,28.5,,,KV1
23.0,Thiết kế đồ họa 7210403,28.75,,,KV2NT
24.0,Thiết kế đồ họa 7210403,29.25,,,KV3
