STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chương trình đại học chính quy quốc tế cấp song bằng ngành Quản trị kinh doanh 7340002,24.5,"A00, A01, D01, D07",21114000.0,
2.0,Công nghệ tài chính 7340205,25.43,"A00, A01, D01, D07",21114000.0,
3.0,Hệ thống thông tin quản lý 7340405_TABP,24.55,"A00, A01, D01, D07",40535000.0,
4.0,Hệ thống thông tin 7340405,25.24,"A00, A01, D01, D07",21114000.0,
5.0,Kế toán CLC 7340301_TABP,23.65,"A00, A01, A04, A05",40535000.0,
6.0,Kế toán 7340301,25.29,"A00, A01, D01, D07",21114000.0,
7.0,Khoa học dữ liệu (Data Science) 7460108,24.75,"A00, A01, D01, D07",21114000.0,
8.0,Kinh tế quốc tế 7310106_TABP,25.0,"A00, A01, D01, D07",40535000.0,tiếng Anh bán phần
9.0,Kinh tế quốc tế 7310106,25.5,"A00, A01, D01, D07",21114000.0,
10.0,Logistics và Quản lý chuỗi cung ứng 7510605,25.8,"A00, A01, D01, D07",21114000.0,
11.0,Luật kinh tế 7380107,24.35,"A00, A01, D01, D14",21114000.0,
12.0,Marketing 7340115,26.1,"A00, A01, D01, D07",21114000.0,
13.0,Ngành Kinh doanh quốc tế 7340120,26.36,"A00, A01, D01, D07",21114000.0,
14.0,Ngôn ngữ Anh 7220201,25.05,"A01, D01, D14, D15",21114000.0,
15.0,Ngôn ngữ Anh Chương trình đào tạo đặc biệt 7220201_DB,24.05,"A01, D01, D14, D15",40535000.0,
16.0,Quản trị Kinh doanh 7340101,24.8,"A00, A01, D01, D07",21114000.0,
17.0,Quản trị Kinh doanh CLC 7340101_TABP,20.45,"A00, A01, D01, D07",40535000.0,
18.0,Tài chính ngân hàng CLC 7340201_TABP,24.1,"A00, A01, D01, D07",40535000.0,
19.0,Tài chính – Ngân hàng 7340201,25.47,"A00, A01, D01, D07",21114000.0,
