STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bản đồ học 7310502,,,,
2.0,Bảo vệ thực vật 7620112,,,,
3.0,Chăn nuôi 7620105,,,,
4.0,Công nghệ kỹ thuật cơ khí 7510201C,,,,
5.0,Công nghệ kỹ thuật nhiệt 7510206,,,,
6.0,Công nghệ thông tin 7480201,19.5,,,
7.0,Công nghệ chế biến thủy sản 7540105,,,,
8.0,Công nghệ sinh học 7420201,,,,
9.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,,,,
10.0,Công nghệ chế biến lâm sản 7540301,,,,
11.0,Công nghệ sinh học (LK QT) 7420201Q,,,,
12.0,Công nghệ kỹ thuật cơ điện tử 7510203,,,,
13.0,Công nghệ thực phẩm 7540102C,,,,
14.0,Công nghệ kỹ thuật hoá học 7510401,,,,
15.0,Công nghệ rau hoa quả và cảnh quan 7620113,,,,
16.0,Công nghệ kỹ thuật ô tô 7510205,,,,
17.0,Công nghệ thực phẩm (CT TT) 7540102T,,,,
18.0,ĐH Nuôi trồng thủy sản 7620301,,,,
19.0,Kế toán 7340301,19.5,,,
20.0,Khoa học môi trường 7440301,,,,
21.0,Kinh doanh quốc tế 7340120Q,,,,
22.0,Kinh tế 7310101,19.0,,,
23.0,Kinh doanh nông nghiệp 7620114,19.0,,,
24.0,Kỹ thuật thực phẩm 7540102,,,,
25.0,Kỹ thuật môi trường (CL Cao) 7520320C,,,,
26.0,Lâm học 7620201,,,,
27.0,Ngành Kỹ thuật môi trường 7520320,,,,
28.0,Ngành Kỹ thuật điều khiển & Tự động hóa 7520216,,,,
29.0,Ngôn ngữ Anh 7220201,24.0,,,
30.0,Nông học 7620109,,,,
31.0,Phát triển nông thôn 7620116,18.0,,,
32.0,Quản trị kinh doanh 7340101C,19.5,,,
33.0,Quản lý và kinh doanh nông nghiệp quốc tế (LK QT) 7620114Q,,,,
34.0,Quản lý tài nguyên và môi trường 7850101,,,,
35.0,Quản lý đất đai 7850103,,,,
36.0,Quản lý tài nguyên rừng 7620211,,,,
37.0,Quản trị doanh nghiệp 7340101,19.5,,,
38.0,Sư phạm kỹ thuật nông nghiệp 7140215,,,,
39.0,Thú y 7640101,,,,
40.0,Thú y (CT tiên tiến) 7640101T,,,,
41.0,Thương mại quốc tế (LK QT) 7310106Q,,,,
