STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật hoá học 7510401,15.0,,,
2.0,Công nghệ kỹ thuật cơ điện tử 7510203,15.0,,,
3.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.0,,,
4.0,Công nghệ kỹ thuật ô tô 7510205,17.0,,,
5.0,Công nghệ thực phẩm 7540101,15.0,,,
6.0,Công nghệ sinh học 7420201,15.0,,,
7.0,Công nghệ thông tin 7480201,15.0,,,
8.0,Đạo diễn điện ảnh. truyền hình 7210235,20.0,,,
9.0,Diễn viên kịch. điện ảnh - truyền hình 7210234,19.5,,,
10.0,Điều dưỡng 7720301,18.0,,,
11.0,Đông phương học 7310608,15.0,,,
12.0,Du lịch 7310630,15.0,,,
13.0,Dược học 7720201,20.0,,,
14.0,Kế toán 7340301,15.0,,,
15.0,Kiến trúc 7580101,15.0,,,
16.0,Kỹ thuật xét nghiệm y học 7720601,18.0,,,
17.0,Kỹ thuật xây dựng 7580201,15.0,,,
18.0,Kỹ thuật hệ thống công nghiệp 7520118,15.0,,,
19.0,Kỹ thuật y sinh 7520212,15.0,,,
20.0,Logistics và Quản lý chuỗi cung ứng 7510605,15.0,,,
21.0,Luật kinh tế 7380107,15.0,,,
22.0,Marketing (dạy bằng tiếng Anh) 7340115,15.0,,,
23.0,Ngôn ngữ Trung Quốc 7220204,17.0,,,
24.0,Ngôn ngữ Anh 7220201,15.0,,,
25.0,Piano 7210208,22.0,,,
26.0,Quan hệ công chúng 7320108,15.0,,,
27.0,Quản trị nhà hàng và dịch vụ ăn uống 7810202,17.0,,,
28.0,Quản trị doanh nghiệp 7340101,16.0,,,
29.0,Quản lý tài nguyên và môi trường 7850101,15.0,,,
30.0,Quản trị khách sạn 7810201,17.0,,,
31.0,Quản trị dịch vụ du lịch và lữ hành 7810103,16.0,,,
32.0,Quản trị nhân lực 7340404,15.0,,,
33.0,Quay phim 7210236,19.0,,,
34.0,Tài chính – Ngân hàng 7340201,15.0,,,
35.0,Tâm lý học 7310401,15.0,,,
36.0,Thanh nhạc 7210205,18.5,,,
37.0,Thiết kế đồ họa 7210403,15.5,,,
38.0,Thiết kế nội thất 7580108,17.5,,,
39.0,Thương mại điện tử 7340122,15.5,,,
40.0,Tiếng Việt & Văn hóa Việt Nam 7220101,16.0,,,
41.0,Truyền thông đa phương tiện 7320104,15.0,,,
42.0,Vật lý Y khoa 7520403,15.5,,,
43.0,Y khoa 77200101,23.0,,,
44.0,Y học dự phòng 7720110,18.0,,,
