STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo dưỡng Công nghiệp 141,65.44,"A00, A01",30000000.0,
2.0,Cơ Kỹ thuật - CLC Tăng cường Tiếng Nhật 268,68.75,"A00, A01",60000000.0,
3.0,Cơ Kỹ thuật 138,74.7,"A00, A01",30000000.0,
4.0,Công nghệ sinh học 218,70.91,"A00, B00, B08, D07",80000000.0,
5.0,"Công nghệ Thực phẩm (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng) 219",60.11,"A00, B00, D07",80000000.0,
6.0,Địa Kỹ thuật xây dựng 147,55.38,"A00, A01, D07",,
7.0,Khoa học Máy tính; Kỹ thuật Máy tính; (Nhóm ngành) 106,84.16,"A00, A01",30000000.0,
8.0,Khoa học dữ liệu 146,82.14,"A00, A01",,
9.0,"Khoa học Máy tính - (CLC tăng cường tiếng Nhật) (CT Chất lượng cao, tiên tiến) 266",79.63,"A00, A01",60000000.0,
10.0,"Khoa học Máy tính (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng) 206",83.63,"A00, A01",80000000.0,
11.0,Kĩ thuật vật liệu (chuyên ngành Kỹ thuật Vật liệu công nghệ cao) 229,57.96,"A00, A01, D07",80000000.0,
12.0,Kiến trúc (Kiến Trúc Cảnh Quan) 217,61.08,"A00, A01",80000000.0,
13.0,Kiến trúc 117,70.85,"A00, A01",30000000.0,
14.0,Kinh tế xây dựng 148,58.59,"A00, A01",,
15.0,"Kỹ thuật Cơ điện tử (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng) 210",78.0,"A00, A01",80000000.0,
16.0,"Kỹ thuật Điện - Điện tử (CT Tiên tiến, giảng dạy bằng tiếng Anh, học phí tương ứng) 208",76.71,"A00, A01",80000000.0,
17.0,Kỹ thuật Cơ khí; Kỹ thuật Cơ điện tử; (Nhóm ngành) 109,73.89,"A00, A01",30000000.0,
18.0,Kỹ thuật Dệt; Công nghệ Dệt may; (Nhóm ngành) 112,55.51,"A00, A01",30000000.0,
19.0,"Kỹ thuật Xây dựng Công trình Giao thông (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng) 245",73.5,"A00, A01",80000000.0,
20.0,"Kỹ thuật Dầu khí (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng) 220",57.88,"A00, A01, D07",80000000.0,
21.0,"Kỹ thuật Hóa học (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng) 214",64.68,"A00, B00, D07",80000000.0,
22.0,Kỹ thuật Tàu thủy; Kỹ thuật Hàng không (Song ngành từ 2020) 145,75.38,"A00, A01",30000000.0,
23.0,Kỹ thuật Xây dựng; Kỹ thuật Xây dựng Công trình giao thông; Kỹ thuật Xây dựng Công trình thủy; Kỹ thuật Xây dựng Công trình biển; Kỹ thuật Cơ sở hạ tầng; (Nhóm ngành) 115,62.01,"A00, A01",30000000.0,
24.0,Kỹ thuật Hệ thống Công nghiệp; Logistics và Quản lý chuỗi Cung ứng 128,80.1,"A00, A01",30000000.0,
25.0,"Kỹ thuật Ô tô (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng) 242",65.87,"A00, A01",80000000.0,
26.0,"Kỹ thuật Cơ điện tử; Chuyên ngành Kỹ thuật Robot (CT chất lượng cao, tiên tiến) 211",73.1,"A00, A01",80000000.0,
27.0,"Kỹ thuật Cơ khí (CLC, giảng dạy bằng tiếng Anh, học phí tương ứng) 209",65.77,"A00, A01",80000000.0,
28.0,Kỹ thuật Hóa học; Công nghệ Thực phẩm; Công nghệ Sinh học; (Nhóm ngành) 114,77.36,"A00, B00, D07",30000000.0,
29.0,Kỹ thuật Môi trường; Quản lý Tài nguyên và Môi trường; (Nhóm ngành) 125,61.98,"A00, A01, B00, D07",30000000.0,
30.0,Kỹ thuật Ô tô 142,78.22,"A00, A01",30000000.0,
31.0,"Kỹ thuật Máy tính (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng) 207",80.41,"A00, A01",80000000.0,
32.0,Kỹ thuật Nhiệt (Nhiệt lạnh) 140,72.01,"A00, A01",30000000.0,
33.0,Kỹ thuật Địa chất; Kỹ thuật Dầu khí; (Nhóm ngành) 120,66.11,"A00, A01, D07",30000000.0,
34.0,Kỹ thuật Cơ điện tử 110,81.33,"A00, A01",30000000.0,
35.0,Kỹ thuật Điện; Kỹ thuật Điện tử - Viễn thông; Kỹ thuật Điều khiển và tự động hóa; (Nhóm ngành) 108,80.03,"A00, A01",30000000.0,
36.0,"Kỹ thuật Xây dựng (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng) 215",58.59,"A00, A01",80000000.0,
37.0,Kỹ thuật Vật liệu 129,68.5,"A00, A01, D07",30000000.0,
38.0,Kỹ thuật máy tính 107,82.87,"A00, A01",30000000.0,
39.0,"Logistics và Quản lý chuỗi cung ứng (CT Chất lượng cao, tiên tiến) 228",74.47,"A00, A01",80000000.0,
40.0,Quản lý Công nghiệp 123,77.28,"A00, A01, D01, D07",30000000.0,
41.0,"Quản lý Tài nguyên và Môi trường (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng) 225",61.59,"A00, A01, B00, D07",80000000.0,
42.0,"Quản lý Công nghiệp (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng) 223",65.03,"A00, A01, D01, D07",80000000.0,
43.0,"Vật lý Kỹ thuật_Chuyên ngành Kỹ thuật Y sinh (CT Chất lượng cao, tiên tiến) 237",57.23,"A00, A01",80000000.0,
44.0,Vật lý Kỹ thuật 137,73.86,"A00, A01",30000000.0,
