STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,An toàn thông tin (chất lượng cao) 7480202_CLCA,25.3,,,
2.0,An toàn thông tin 7480202,26.7,,,
3.0,Công nghệ thông tin 7480201,27.0,,,
4.0,Công nghệ thông tin (chất lượng cao định hướng Nhật Bản) 7480201_CLCN,23.7,,,
5.0,Hệ thống thông tin 7480104,26.3,,,
6.0,Hệ thống thông tin (chất lượng cao) 7480104_CLCA,24.7,,,
7.0,Hệ thống thông tin chương trình tiên tiến 7480104_TT,22.0,,,
8.0,Khoa học máy tính 7480101,27.2,,,
9.0,Khoa học Dữ liệu 7480109,25.9,,,
10.0,Khoa học máy tính (chất lượng cao) 7480101_CLCA,25.7,,,
11.0,Khoa học Máy tính (Hướng trí tuệ nhân tạo) 7480101_TTNT,27.1,,,
12.0,Kỹ thuật máy tính (chất lượng cao) 7480106_CLCA,24.2,,,
13.0,Kỹ thuật phần mềm 7480103,27.7,,,
14.0,Kỹ thuật phần mềm chương trình chất lượng cao 7480103_CLC,26.3,,,
15.0,Kỹ thuật máy tính (Hướng hệ thống nhúng và IOT) 7480106_IOT,26.0,,,
16.0,Kỹ thuật máy tính 7480106,26.7,,,
17.0,Mạng máy tính và truyền thông dữ liệu 7480102,26.0,,,
18.0,Thương mại điện tử (chất lượng cao) 7340122_CLCA,24.8,,,
19.0,Thương mại điện tử 7340122,26.5,,,
20.0,Truyền thông và mạng máy tính chương trình chất lượng cao 7480102_CLC,23.6,,,
