STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ tài chính CLC 7340208_414C,26.4,,,
2.0,Công nghệ tài chính 7340208_414,25.6,,,
3.0,Hệ thống thông tin quản lý 7340405_406,26.95,,,
4.0,Hệ thống thông tin quản lý (Kinh doanh số và trí tuệ nhân tạo) (Chất lượng cao) 7340405_416C,26.05,,,
5.0,Hệ thống thông tin quản lý chất lượng cao 7340405_406C,26.6,,,
6.0,Kế toán 7340301_405,26.45,,,
7.0,Kế toán CLC bằng tiếng Anh 7340401_405CA,24.8,,,
8.0,Kế toán chất lượng cao 7340301_405C,25.85,,,
9.0,Kiểm toán 7340302_409,26.85,,,
10.0,Kiểm toán chất lượng cao 7340302_409C,26.1,,,
11.0,Kinh tế đối ngoại 7310106_402,27.45,,,
12.0,Kinh doanh quốc tế chất lượng cao 7340120_408C,27.05,,,
13.0,Kinh tế (Kinh tế học) (chất lượng cao) 7310101_401C,26.1,,,
14.0,Kinh tế đối ngoại CLC bằng tiếng Anh 7310106_402CA,26.6,,,
15.0,Kinh tế đối ngoại chất lượng cao 7310106_402C,27.0,,,
16.0,Kinh doanh quốc tế 7340120_408,27.65,,,
17.0,Kinh tế và Quản lý công chất lượng cao 7310101_403C,25.25,,,
18.0,Kinh tế học 7310101_401,26.45,,,
19.0,Kinh tế và Quản lý công 7310101_403,25.4,,,
20.0,Kinh doanh quốc tế chất lượng cao hoàn toàn bằng tiếng Anh 7340120_408CA,26.7,,,
21.0,Luật kinh doanh chất lượng cao 7380107_501C,26.5,,,
22.0,Luật dân sự 7380101_503,25.95,,,
23.0,Luật thương mại quốc tế chất lượng cao 7380107_502C,25.0,,,
24.0,Luật dân sự CLC bằng tiếng Anh 7380101_503CA,24.1,,,
25.0,Luật thương mại quốc tế 7380107_502,26.75,,,
26.0,Luật dân sự chất lượng cao 7380101_503C,25.45,,,
27.0,Luật kinh doanh 7380107_501,26.85,,,
28.0,Luật Tài chính - Ngân hàng (chất lượng cao) 7380101_504C,25.55,,,
29.0,Luật (Luật Tài chính - Ngân hàng) (Chất lượng cao tăng cường tiếng Pháp) 7380101_504CP,24.55,,,
30.0,Luật Tài chính - Ngân hàng 7380101_504,25.85,,,
31.0,Marketing CLC bằng tiếng Anh 7340115_410CA,26.7,,,
32.0,Marketing chất lượng cao 7340115_410C,27.3,,,
33.0,Marketing 7340115_410,27.55,,,
34.0,Quản trị kinh doanh chất lượng cao 7340101_407C,26.55,,,
35.0,Quản trị kinh doanh (Quản trị du lịch và lữ hành) 7340101_415,24.8,,,
36.0,Quản trị kinh doanh 7340101_407,27.1,,,
37.0,Quản trị kinh doanh (chất lượng cao bằng tiếng Anh) 7340101_407CA,26.1,,,
38.0,Tài chính - Ngân hàng 7340201_404,26.55,,,
39.0,Tài chính – Ngân hàng chất lượng cao hoàn toàn bằng tiếng Anh (dự kiến) 7340201_404CA,25.6,,,
40.0,Tài chính - Ngân hàng chất lượng cao 7340201_404C,26.3,,,
41.0,Thương mại điện tử 7340122_411,27.5,,,
42.0,Thương mại điện tử CLC bằng tiếng Anh 7340122_411CA,26.15,,,
43.0,Thương mại điện tử (chất lượng cao) 7340122_411C,27.2,,,
44.0,Toán kinh tế CLC bằng tiếng Anh 7310108_413CA,23.4,,,
45.0,"Toán kinh tế (Toán ứng dụng trong kinh tế, quản trị và tài chính) (Chất lượng cao) 7310108_413C",25.35,,,
46.0,"Toán kinh tế (Toán ứng dụng trong kinh tế, quản trị và tài chính) 7310108_413",25.75,,,
