STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ sinh học 7420201,20.5,,,
2.0,Công nghệ thực phẩm 7540101,20.0,,,
3.0,Công nghệ thông tin 7480201,20.5,,,
4.0,ĐH Toán ứng dụng 7460112,20.0,,,
5.0,Hóa học 7440112,21.0,,,
6.0,Kĩ thuật xây dựng 7580208,16.75,,,
7.0,Kỹ thuật y sinh 7520212,22.5,,,
8.0,Logistics và Quản lý chuỗi cung ứng 7510605,22.5,,,
9.0,Ngành Kỹ thuật điều khiển & Tự động hóa 7520216,18.75,,,
10.0,Ngành Kỹ thuật điện tử truyền thông 7520207,18.0,,,
11.0,Quản lý thủy sản 7620305,17.5,,,
12.0,Quản trị doanh nghiệp 7340101,22.5,,,
13.0,Quản lý năng lượng 7510602,19.25,,,
14.0,Tài chính – Ngân hàng 7340201,21.5,,,
