STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật Hoá học (CT Chất lượng cao) 7510401 _CLC,22.75,,,
2.0,Công nghệ thông tin (Chất lượng cao): Chương trình đào tạo đạt chuẩn kiểm định quốc tế AUN-QA 7480201_CLC,25.75,,,
3.0,Công nghệ vật liệu 7510402,18.0,,,
4.0,"Công nghệ thông tin (Việt - Pháp): Chương trình đào tạo hợp tác đại học Claude Bernard Lyon 1, Pháp 7480201_VP",24.7,,,
5.0,Công nghệ kỹ thuật Môi trường 7510406,17.0,,,
6.0,Công nghệ Sinh học (Chương trình Chất lượng cao) 7420201_CLC,23.75,,,
7.0,Công nghệ sinh học 7420201,25.0,,,
8.0,Địa chất học 7440201,17.0,,,
9.0,Hải dương học 7440228,17.0,,,
10.0,Hóa học 7440112,25.0,,,
11.0,"Hoá học (Việt - Pháp): hợp tác đại học Maine, Pháp 7440112_VP",22.0,,,
12.0,Hóa học (CT Chất lượng cao) 7440112_CLC,22.0,,,
13.0,Khoa học môi trường 7440301,17.0,,,
14.0,Khoa học môi trường (CT Chất lượng cao) 7440301_CLC,17.0,,,
15.0,Khoa học vật liệu 7440122,17.0,,,
16.0,Khoa học Môi trường (Tuyển sinh đào tạo tại Phân hiệu ĐHQG-HCM tại tỉnh Bến Tre) 7440301_BT,16.0,,,
17.0,Khoa học máy tính (Chương trình Tiên tiến) 7480101_TT,26.65,,,
18.0,Khoa học Dữ liệu 7480109,24.0,,,
19.0,Kỹ thuật hạt nhân 7520402,17.0,,,
20.0,Kỹ thuật địa chất 7520501,17.0,,,
21.0,Kỹ thuật điện tử - viễn thông (Chương trình Chất lượng cao) 7520207_CLC,18.0,,,
22.0,Ngành Kỹ thuật điện tử truyền thông 7520207,23.0,,,
23.0,Nhóm ngành máy tính và Công nghệ thông tin 7480201_NN,27.2,,,
24.0,Sinh học (CT Chất lượng cao) 7420101_CLC,18.0,,,
25.0,Sinh hoc 7420101,18.0,,,
26.0,Toán học 7460101,20.0,,,
27.0,Vật lý học 7440102,17.0,,,
28.0,Vật lý Y khoa 7520403,22.0,,,
