STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Báo chí 7320101,27.5,,,
2.0,Báo chí 7320101,26.15,,,
3.0,Báo chí (Chất lượng cao) 732010l_CLC,26.8,,,
4.0,Báo chí (Chất lượng cao) 732010l_CLC,25.4,,,
5.0,Công tác xã hội 7760101,22.0,,,
6.0,Công tác xã hội 7760101,22.8,,,
7.0,Địa lý học 7310501,22.75,,,
8.0,Địa lý học 7310501,22.25,,,
9.0,Đô thị học 7580112_BT,21.1,,,
10.0,Đô thị học 7580112_BT,22.1,,,
11.0,Đô thị học 7580112,23.1,,,
12.0,Đô thị học 7580112,22.1,,,
13.0,Đông phương học 7310608,24.65,,,
14.0,Đông phương học 7310608,24.45,,,
15.0,Giáo dục học 7140101,22.15,,,
16.0,Giáo dục học 7140101,21.25,,,
17.0,Hàn Quốc học 7310614,25.2,,,
18.0,Lịch sử 7229010,22.0,,,
19.0,Lịch sử 7229010,22.5,,,
20.0,Lưu trữ học 7320303,24.25,,,
21.0,Lưu trữ học 7320303,22.75,,,
22.0,Ngôn ngữ Đức 7220205,23.0,,,
23.0,Ngôn ngữ Anh 7220201,26.17,,,
24.0,Ngôn ngữ Trung Quốc 7220204,25.2,,,
25.0,Ngôn ngữ Đức 7220205,22.0,,,
26.0,Ngôn ngữ Italia 7220208,21.5,,,
27.0,Ngôn ngữ Nga 7220202,20.0,,,
28.0,Ngôn ngữ Trung Quốc - Chất lượng cao (CLC) 7220204 CLC,24.0,,,
29.0,Ngôn ngữ Tây Ban Nha 7220206,22.5,,,
30.0,Ngôn ngữ Anh (Chất lượng cao) 7220201CLC,25.65,,,
31.0,Ngôn ngữ học 7229020,23.5,,,
32.0,Ngôn ngữ Pháp 7220203,23.2,,,
33.0,Ngôn ngữ học 7229020,24.3,,,
34.0,Ngôn ngữ Pháp 7220203,22.75,,,
35.0,Nhân học 7310302,21.75,,,
36.0,Nhân học 7310302,22.25,,,
37.0,Nhật Bản học 7310613,25.2,,,
38.0,Nhật Bản học 7310613,25.65,,,
39.0,Quản trị dịch vụ du lịch và lữ hành chất lượng cao 7810103 _ CLC,25.55,,,
40.0,Quan hệ quốc tế chất lượng cao 7310206_CLC,25.4,,,
41.0,Quản lý thông tin 7320205,23.75,,,
42.0,Quản trị văn phòng 7340406,26.0,,,
43.0,Quản trị dịch vụ du lịch và lữ hành 7810103,26.25,,,
44.0,Quản trị văn phòng 7340406,24.5,,,
45.0,Quan hệ quốc tế chất lượng cao 7310206_CLC,25.7,,,
46.0,Quản trị dịch vụ du lịch và lữ hành chất lượng cao 7810103 _ CLC,25.0,,,
47.0,Quan hệ quốc tế 7310206,26.0,,,
48.0,Quản lý thông tin 7320205,25.4,,,
49.0,Quản trị dịch vụ du lịch và lữ hành 7810103,27.3,,,
50.0,Quan hệ quốc tế 7310206,25.6,,,
51.0,Tâm lý học 7310401,26.6,,,
52.0,Tâm lý học 7310401,25.9,,,
53.0,Thông tin - thư viện 7320201,21.0,,,
54.0,Thông tin - thư viện 7320201,21.25,,,
55.0,Tôn giáo học 7229009,21.0,,,
56.0,Tôn giáo học 7229009,21.5,,,
57.0,Triết học 7229001,21.75,,,
58.0,Triết học 7229001,21.25,,,
59.0,Truyền thông đa phương tiện 7320104,26.25,,,
60.0,Truyền thông đa phương tiện 7320104,27.0,,,
61.0,Văn học 7229030,24.65,,,
62.0,Văn hoá học 7229040,25.6,,,
63.0,Văn hoá học 7229040,24.75,,,
64.0,Văn học 7229030,24.15,,,
65.0,Xã hội học 7310301,24.0,,,
66.0,Xã hội học 7310301,25.0,,,
