STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,"Công nghệ kĩ thuật điện tử, truyền thông 7510302B",19.0,,,
2.0,Công nghệ kĩ thuật môi trường 7510406B,18.25,,,
3.0,Công nghệ thông tin 7480201A,28.83,,,
4.0,Công nghệ kỹ thuật điện - Điện tử (hệ Chất lượng cao tiếng Anh) 7510301A,20.5,,,
5.0,Công nghệ kỹ thuật môi trường 7510406C,19.5,,,
6.0,Công nghệ thông tin 7480201B,27.58,,,
7.0,Công nghệ kỷ thuật Diện từ - Viễn thông (hệ Chất lưựng cao tiếng Anh) 7510302A,20.75,,,
8.0,Công nghệ kĩ thuật môi trường 7510406A,20.25,,,
9.0,"Công nghệ kĩ thuật điện, điện tử 7510301B",18.25,,,
10.0,Giáo dục Mầm non C140201B,27.75,,,
11.0,Giáo dục Tiểu học 7140202A,21.5,,,
12.0,Giáo dục Tiểu học C140202A,20.5,,,
13.0,Giáo dục Tiểu học C140202C,21.25,,,
14.0,Giáo dục Tiểu học 7140202C,21.75,,,
15.0,Giáo dục Mầm non 7140201A,31.5,,,
16.0,Giáo dục Mầm non C140201C,27.33,,,
17.0,Giáo dục Tiểu học C140202B,21.0,,,
18.0,Giáo dục Tiểu học 7140202B,21.75,,,
19.0,Giáo dục Mầm non C140201A,30.25,,,
20.0,Giáo dục chính trị 7140205B,19.0,,,
21.0,Giáo dục Mầm non 7140201C,28.83,,,
22.0,Giáo dục Công dân C140204A,18.0,,,
23.0,Giáo dục chính trị 7140205A,19.0,,,
24.0,Giáo dục Mầm non 7140201B,28.75,,,
25.0,Kế toán 7340301B,28.0,,,
26.0,Kế toán 7340301A,26.25,,,
27.0,Khoa học môi trường 7440301C,20.0,,,
28.0,Khoa học thư viện 7320202B,17.5,,,
29.0,Khoa học môi trường 7440301B,18.5,,,
30.0,Khoa học thư viện 7320202A,17.25,,,
31.0,Khoa học môi trường 7440301A,21.0,,,
32.0,Khoa học thư viện 7320202C,19.75,,,
33.0,"Kĩ thuật điện tử, truyền thông 7520207B",18.25,,,
