STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,CNKT công trình xây dựng CLC 7510102C,20.25,,,
2.0,Công nghệ kỹ thuật môi trường 7510406C,18.0,,,
3.0,Công nghỹ kỳ thuật điều khicn và lự động hoả (hệ Chat lượng cao ticng Anh) 7510303A,21.75,,,
4.0,Công nghệ kỹ thuật ô tô (hệ CLC tiếng Việt) 7510205C,23.75,,,
5.0,Công nghệ chc tạo máy (hệ Chắt lượng cao tiếng Anh) 7510202A,20.0,,,
6.0,Công nghệ kỹ thuật cơ điện tử (hệ đại trà) 7510203D,25.25,,,
7.0,Công nghệ kỹ thuật máy tinh (hệ Chất lượng cao ticng Việt) 7480108C,21.0,,,
8.0,Công nghệ Thực phẩm (hệ Chất lượng cao tiếng Anh) 7540101A,20.5,,,
9.0,Công nghệ kỳ thuật điểu khicn và tự động hoả (hộ Đại trà) 7510303D,25.0,,,
10.0,Công nghệ kỷ thuật Diện từ - Viễn thông (hệ Chất lưựng cao tiếng Anh) 7510302A,19.0,,,
11.0,"Công nghệ kỹ thuật điện, điện lử 7510301C",22.25,,,
12.0,Công nghệ chế tạo máy (hệ đại trà) 7510202D,24.25,,,
13.0,Công nghệ kỳ thuật cơ khi (hệ Chát lượng cao tiếng Anh) 7510201A,21.0,,,
14.0,Công nghệ thông tin 7480201A,21.25,,,
15.0,Công nghệ kỳ thuật mỏi trường (hệ Đại trà) 7510406D,21.5,,,
16.0,Công nghệ kỳ thuật điều khiên và tự động hoả (hệ (’hất lượng cao ticng Việt) 7510303C,22.75,,,
17.0,Công nghệ kỹ thuật điện - Điện tử (hệ Chất lượng cao tiếng Anh) 7510301A,20.25,,,
18.0,Công nghệ kỹ thuật ô tô (hệ đại trà) 7510205D,25.5,,,
19.0,Công nghệ chế tạo máy 7510202C,21.5,,,
20.0,Cóng nghệ kỹ thuật công trình xây dựng (hệ Chất lượng cao tiếng Anh) 7510102A,19.5,,,
21.0,Công nghệ kỹ thuật công trình xây dựng (hệ đại trà) 7510102D,23.5,,,
22.0,Công nghệ kỳ thuật máy tinh (hệ Đại trà) 7480108D,23.75,,,
23.0,Công nghệ Thực phàm (hệ Đại trà) 7540101D,25.0,,,
24.0,Công nghệ may (hệ Đại trả) 7540205D,24.0,,,
25.0,Công nghệ Kỹ thuật vật liệu (hệ đại trà) 7510402D,21.75,,,
26.0,Công nghệ kỹ thuật Điện tử - Viễn thông (hệ đại trà) 7510302D,23.75,,,
27.0,Công nghệ kỹ thuật nhiệt (hệ đại trà) 7510206D,23.5,,,
28.0,Công nghệ kỳ thuật ỏ tô (hệ Chat lượng cao ticng Anh) 7510205A,22.25,,,
29.0,Công nghệ kỹ thuật cơ điện tử 7510203C,22.75,,,
30.0,Công nghệ kỹ thuật cơ khí (hệ đại trà) 7510201D,24.75,,,
31.0,Công nghệ Thông Tin (hệ đại trà) 7480201D,25.0,,,
32.0,Công nghệ kỹ thuật máy tinh (hệ ('hất lượng cao ticng Anh) 7480108A,,,,
33.0,Công nghệ thực phẳm 7540101C,21.75,,,
34.0,Công nghệ may (hệ Chất lượng cao tiếngViệt) 7540205C,19.75,,,
35.0,Công nghệ kỹ thuật in (Chất lượng cao tiếng Việt) 7510801C,,,,
36.0,Công nghệ Kỹ thuật Hóa học (hệ đại trà) 7510401D,25.0,,,
37.0,Công nghệ kỹ thuật điện tử - viễn Ihông 7510302C,20.0,,,
38.0,Công nghệ kỳ thuật nhiệt (hệ CLC tiếng Việt) 7510206C,20.0,,,
39.0,Công nghệ kỹ thuật điện - Điện tử (hệ đại trà) 7510301D,25.0,,,
40.0,Công nghệ kỹ thuật cơ điện tử (hệ chất lượng cao tiếng Anh) 7510203A,21.0,,,
41.0,Công nghệ kỹ thuật cơ khí 7510201C,22.25,,,
42.0,Công nghệ thông tin (CTCLC) 7480201C,22.25,,,
43.0,Kế toán (CT chất lượng cao) 7340301C,18.75,,,
44.0,Kế toán (hệ Đại trà) 7340301D,22.75,,,
45.0,Kiên trúc (hệ Đại trà) 7580101D,,,,
46.0,Kỷ thuật nử công (hộ Đại trà) 7810502D,,,,
47.0,KỲ thuật Còng nghiệp (hệ Đại trà) 7520117D,,,,
48.0,Kỹ thuật dữ liệu 7480203D,21.0,,,
49.0,Kỹ thuật Y sinh (Điện tư V sinh) (hệ Đại trà) 7520212D,23.25,,,
50.0,Logistics và quán lý chuỗi cung ứng 7510605D,24.5,,,
51.0,Ngôn ngữ Anh (hệ Đại trà) 7220201D,24.75,,,
52.0,Quan lý Còng nghiệp (hệ Chất lượng cao tiếng Việt) 7510601C,19.75,,,
53.0,Quản lý Công nghiệp (hệ Đại trà) 7510601D,24.0,,,
54.0,Su phạm Tiếng Anh (hệ Đại trà) 7140231D,25.0,,,
55.0,Thiết kế thời trang (hệ Đại trà) 7210404D,20.0,,,
56.0,Thương mại điện tử (hệ Đại trà) 7340122D,23.25,,,
