STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công tác xã hội 7760101,24.44,"A00, C00, D01",15000000.0,
2.0,Công nghệ thông tin 7480201,23.05,"A00, A01, B08",16400000.0,
3.0,Địa lý học 7310501,25.17,"C00, D15, D78",15000000.0,
4.0,Du lịch 7810101,25.25,"C00, C04, D01, D78",15000000.0,
5.0,Giáo dục Thể chất 7140206_LA,24.77,"M08, T01",16400000.0,
6.0,Giáo dục Đặc biệt 7140203,26.5,"C00, C15, D01",14150000.0,
7.0,Giáo dục Mầm non 7140201_LA,22.0,"M02, M03",15000000.0,
8.0,Giáo dục Thể chất 7140206,26.71,"M08, T01",14150000.0,
9.0,Giáo dục Công dân 7140204,27.34,"C00, C19, D01",14150000.0,
10.0,Giáo dục Tiểu học 7140202_LA,24.73,"A00, A01, D01",15200000.0,
11.0,Giáo dục Tiểu học 7140202,26.13,"A00, A01, D01",14150000.0,
12.0,Giáo dục mầm non hệ cao đẳng 51140201_LA,18.7,"M02, M03",15200000.0,
13.0,Giáo dục Quốc phòng - An ninh 7140208,27.28,"A08, C00, C19",14150000.0,
14.0,Giáo dục Mầm non 7140201,24.24,"M02, M03",14150000.0,
15.0,Giáo dục học 7140101,24.82,"A00, A01, C14, D01",14150000.0,
16.0,Hóa học 7440112,24.65,"A00, B00, D07",15200000.0,
17.0,Ngôn ngữ Pháp 7220203,22.7,"D01, D03",15000000.0,
18.0,Ngôn ngữ Nhật 7220209,23.77,"D01, D06",15000000.0,
19.0,Ngôn ngữ Trung Quốc 7220204,25.05,"D01, D04",15000000.0,
20.0,Ngôn ngữ Nga 7220202,22.0,"D01, D02, D78, D80",15000000.0,
21.0,Ngôn ngữ Anh 7220201,25.86,D01,15000000.0,
22.0,Ngôn ngữ Hàn Quốc 7220210,25.02,"D01, D78, D96",15000000.0,
23.0,Quản lý giáo dục 7140114,25.22,"A00, A01, C14, D01",14150000.0,
24.0,Quốc tế học 7310601,24.42,"D01, D14, D78",15000000.0,
25.0,Sinh học ứng dụng 7420203,21.9,"B00, B08",16400000.0,
26.0,Sư phạm Ngữ văn 7140217_LA,27.2,"C00, D01, D78",16400000.0,
27.0,Sư phạm Tiếng Trung Quốc 7140234,26.44,"D01, D04",14150000.0,
28.0,Sư phạm Tin học (Chuyên ngành Tin học – Công nghệ Tiểu học) 7140210,24.73,"A00, A01, B08",14150000.0,
29.0,Sư phạm Tiếng Pháp 7140233,24.93,"D01, D03",15000000.0,
30.0,Sư phạm công nghệ 7140246,24.31,"A00, A01, A02, D90",14150000.0,
31.0,Sư phạm Hóa học 7140212,27.67,"A00, B00, D07",14150000.0,
32.0,Sư phạm Ngữ văn 7140217,28.6,"C00, D01, D78",14150000.0,
33.0,Sư phạm Toán học 7140209_LA,26.18,"A00, A01",15000000.0,
34.0,Sư phạm Tiếng Anh 7140231_LA,25.47,D01,15000000.0,
35.0,Sư phạm Tiếng Anh 7140231,27.01,D01,14150000.0,
36.0,Sư phạm Sinh học 7140213,26.22,"B00, D08",14150000.0,
37.0,Sư phạm Vật lý 7140211,27.25,"A00, A01, C01",14150000.0,
38.0,Sư phạm Lịch sử - Địa lý 7140249,27.75,"C00, C19, C20, D78",14150000.0,
39.0,Sư phạm Toán học 7140209,27.6,"A00, A01",14150000.0,
40.0,Sư phạm Địa lý 7140219,28.37,"C00, C04, D15, D78",14150000.0,
41.0,Sư phạm Tiếng Nga 7140232,23.69,"D01, D02, D78, D80",15000000.0,
42.0,Sư phạm khoa học tự nhiên 7140247,25.6,"A00, A02, B00, D90",14150000.0,
43.0,Sư phạm Lịch sử 7140218,28.6,"C00, D14",14150000.0,
44.0,Tâm lý học 7310401,27.1,"B00, C00, D01",15000000.0,
45.0,Tâm lý học giáo dục 7310403,26.03,"A00, C00, D01",15000000.0,
46.0,Tiếng Việt & Văn hóa Việt Nam 7220101,,,15000000.0,
47.0,Văn học 7229030,26.62,"C00, D01, D78",15000000.0,
48.0,Vật lý học 7440102,24.44,"A00, A01, D90",15200000.0,
49.0,Việt Nam học 7310630,25.28,"C00, D01, D78",15000000.0,
