STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,17.0,"A00, A01, D01, D07",,
2.0,Công nghệ Giáo dục 7140103,16.0,"A00, A01, D01, D07",,
3.0,Đông phương học 7310608,16.0,"A01, C00, D01, D04",,
4.0,Kế toán 7340301,16.0,"A00, A01, C01, D01",,
5.0,Khoa học máy tính 7480101,17.0,"A00, A01, D01, D07",,
6.0,Logistics và Quản lý chuỗi cung ứng 7510605,17.0,"A00, A01, A07, D01",,
7.0,Luật kinh tế 7380107,17.0,"A00, A01, C00, D01",,
8.0,Ngôn ngữ Anh 7220201,17.0,"D01, D11, D12, D15",,
9.0,Quan hệ công chúng 7320108,17.0,"A00, A01, C00, D01",,
10.0,Quản trị Kinh doanh 7340101,17.0,"A00, A01, A07, D01",,
11.0,Quản trị khách sạn 7810201,16.0,"A00, A01, A07, D01",,
12.0,Tâm lý học 7310401,16.0,"C00, D01, D14, D15",,
13.0,Thương mại điện tử 7340122,16.0,"A00, A01, A07, D01",,
14.0,Truyền thông đa phương tiện 7320104,17.0,"A00, A01, C00, D01",,
