STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Điều dưỡng 7720301TP,,,,
2.0,Điều dưỡng 7720301,23.25,,,
3.0,Dược học 7720201,,,,
4.0,Dược học 7720201TP,,,,
5.0,Khúc xạ nhãn khoa 7720699,25.25,,,
6.0,Khúc xạ nhãn khoa 7720699TP,,,,
7.0,Kỹ thuật hình ảnh y học 7720602,24.5,,,
8.0,Kỹ thuật hình ảnh y học 7720602TP,,,,
9.0,Kỹ thuật xét nghiệm y học 7720601TP,,,,
10.0,Kỹ thuật xét nghiệm y học 7720601,25.75,,,
11.0,Răng - Hàm - Mặt 7720501TP,,,,
12.0,Răng- Hàm -Mặt 7720501,27.25,,,
13.0,Y tế công cộng 7720701,21.75,,,
14.0,Y khoa 7720101,27.0,,,
15.0,Y tế công cộng 7720701TP,,,,
16.0,Y khoa 7720101TP,,,,
