STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ truyền thông 7320106,18.0,,,
2.0,Công nghệ thông tin 7480201,17.0,,,
3.0,Kế toán 7340301,17.0,,,
4.0,Logistics và Quản lý chuỗi cung ứng 7510605,17.0,,,
5.0,Luật kinh tế 7380107,17.0,,,
6.0,Luật quốc tế 7380108,20.0,,,
7.0,Marketing (dạy bằng tiếng Anh) 7340115,18.0,,,
8.0,Ngành Luật 7380101,17.0,,,
9.0,Ngành Kinh doanh quốc tế 7340120,19.0,,,
10.0,Ngôn ngữ Hàn Quốc 7220210,19.0,,,
11.0,Ngôn ngữ Anh 7220201,17.0,,,
12.0,Ngôn ngữ Nhật 7220209,20.0,,,
13.0,Quản trị doanh nghiệp 7340101,19.0,,,
14.0,Quản trị nhân lực 7340404,17.0,,,
15.0,Quản trị dịch vụ du lịch và lữ hành 7810103,18.0,,,
16.0,Quản trị khách sạn 7810201,18.0,,,
17.0,Quan hệ quốc tế 7310206,21.0,,,
18.0,Quan hệ công chúng 7320108,17.0,,,
19.0,Tài chính – Ngân hàng 7340201,17.0,,,
20.0,Thương mại điện tử 7340122,18.0,,,
