STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo tàng học 7320305,,,,
2.0,Du lịch 7310630,22.75,,,
3.0,Kinh doanh xuất bản phẩm 7320402,20.0,,,
4.0,"Quản lý văn hóa, chuyên ngành (1) Quản lý hoạt động Văn hóa Xã hội 7229042A",21.0,,,
5.0,"Quản trị dịch vụ du lịch và lữ hành, chuyên ngành Quản trị lữ hành 7810103A",,,,
6.0,Quản lý di sản văn hoá 7229042C,17.0,,,Điểm thi năng khiếu từ 5 điểm trở lên
7.0,Quản lý nhà nước về gia đình 7229042B,19.75,,,
8.0,"Quản trị dịch vụ du lịch và lữ hành, chuyên ngành Hướng dẫn du lịch 7810103B",,,,
9.0,Quản lý văn hoá - Biểu diễn nghệ thuật 7229042D,18.5,,,Điểm thi năng khiếu từ 5 điểm trở lên
10.0,Thông tin - thư viện 7320201,18.75,,,
11.0,"Văn hóa học, chuyên ngành Văn hóa Việt Nam 7229040A",20.0,,,
12.0,"Văn hóa học, chuyên ngành Truyền thông Văn hóa 7229040C",22.25,,,Điểm thi năng khiếu từ 5 điểm trở lên
13.0,Văn hoá học - Văn hoá truyền thông 7229040B,,,,
14.0,Văn hoá các dân tộc thiểu số Việt Nam 7220112,19.0,,,
