STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Điều dưỡng 7720301,20.15,,,
2.0,Điều dưỡng chuyên ngành Gây mê hồi sức 7720301_03,20.0,,,
3.0,Điều dưỡng chuyên ngành Hộ sinh 7720301_02,19.0,,,
4.0,Dinh dưỡng 7720401,20.25,,,
5.0,Dược học 7720201,22.3,,,
6.0,Kỹ thuật hình ảnh y học 7720602,20.25,,,
7.0,Kỹ thuật phục hồi chức năng 7720603,19.75,,,
8.0,Kỹ thuật xét nghiệm y học 7720601,21.5,,,
9.0,Kỹ thuật phục hình răng 7720502,21.25,,,
10.0,Răng- Hàm -Mặt 7720501,24.45,,,
11.0,Y tế công cộng 7720701,18.0,,,
12.0,Y học dự phòng 7720110,19.0,,,
13.0,Y khoa 7720101,24.95,,,
14.0,Y học cổ truyền 7720115,20.95,,,
