STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Điều dưỡng chuyên ngành Hộ sinh (Chỉ tuyển nữ) 7720501_02 (trước 2023),26.96,,,
2.0,Điều dưỡng 7720301,23.15,,,
3.0,Điều dưỡng chuyên ngành Gây mê hồi sức 7720301_03,23.88,,,
4.0,Điều dưỡng (Kết hợp chứng chỉ tiếng Anh quốc tế) 7720301_04,21.6,,,
5.0,Điều dưỡng chuyên ngành Hộ sinh (Chỉ tuyển nữ) 7720501_02 (trước 2023),26.75,,,Sửa tên: Ngành Răng - Hàm - Mặt kết hợp chứng chỉ tiếng Anh quốc tế
6.0,Dinh dưỡng 7720401,23.4,,,
7.0,Dinh dưỡng (kết hợp sơ tuyển chứng chỉ tiếng Anh quốc tế) 7720401_02,21.45,,,
8.0,Dược học (Kết hợp chứng chỉ tiếng Anh quốc tế) 7720201_02,24.0,,,
9.0,Dược học 7720201,25.5,,,
10.0,Hộ sinh (Kết hợp sơ tuyển chứng chỉ tiếng Anh quốc tế) 7720302_02,23.0,,,
11.0,Hộ sinh 7720302,21.35,,,
12.0,Kỹ thuật phục hồi chức năng 7720603,23.35,,,
13.0,Kỹ thuật phục hình răng (kết hợp sơ tuyển chứng chỉ tiếng Anh quốc tế) 7720502_02,22.55,,,
14.0,Kỹ thuật phục hình răng 7720502,24.54,,,
15.0,Kỹ thuật hình ảnh y học 7720602,23.85,,,
16.0,Kỹ thuật xét nghiệm y học 7720601,24.59,,,
17.0,Răng- Hàm -Mặt 7720501,26.96,,,
18.0,Y khoa (có CC Tiếng Anh) 7720101_02,27.1,,,
19.0,Y học dự phòng (kết hợp sơ tuyển chứng chỉ tiếng Anh quốc tế) 7720110_02,23.45,,,
20.0,Y tế công cộng (kết hợp sơ tuyển chứng chỉ tiếng Anh quốc tế) 7720701_02,19.0,,,
21.0,Y học cổ truyền (kết hợp sơ tuyển chứng chỉ tiếng Anh quốc tế) 7720115_02,23.5,,,
22.0,Y tế công cộng 7720701,19.0,,,
23.0,Y học dự phòng 7720110,22.65,,,
24.0,Y học cổ truyền 7720115,24.54,,,
25.0,Y khoa 7720101,27.34,,,
