STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ truyền thông 7320106,15.0,"A16, C00, C15, D66",,
2.0,Công tác xã hội 7760101,15.0,"C00, C15, C20, D66",,
3.0,Đồ hoạ 7210104,15.0,H00,,
4.0,Du lịch 7810101,15.0,"C00, C20, D66, D78",,
5.0,Giáo dục Thể chất 7140206,26.5,"T00, T03, T05",,
6.0,Giáo dục Mầm non 7140201,27.43,"M01, M02, M03, M07",,
7.0,Giáo dục Tiểu học 7140202,27.0,"A01, C00, D01, M00",,
8.0,Golf 7810302,15.0,"T00, T03, T05",,
9.0,Ngành Luật 7380101,15.0,"C00, C20, D66, D78",,
10.0,Ngôn ngữ Anh 7220201,15.0,"D01, D14, D15, D66",,
11.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.0,"C00, C15, C20, D78",,
12.0,Quản lý văn hoá 7229042,15.0,"C00, C15, C20, D66",,
13.0,Quản lý thể dục thể thao 7810301,15.0,"T00, T03, T05",,
14.0,Quản trị khách sạn 7810201,15.0,"C15, C20, D66, D78",,
15.0,Quản lý nhà nước 7310205,15.0,"C00, C15, C20, D66",,
16.0,Sư phạm Tin học (Chuyên ngành Tin học – Công nghệ Tiểu học) 7140210,24.0,"A00, A16, C15, D01",,
17.0,Thanh nhạc 7210205,15.0,N00,,
18.0,Thiết kế thời trang 7210404,15.0,H00,,
19.0,Thông tin - thư viện 7320201,15.0,"C00, C20, D66, D78",,
