STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chăn nuôi thú y 7620106,15.0,,8200000.0,
2.0,Công nghệ thông tin 7480201,15.0,,8200000.0,
3.0,Du lịch 7310630,15.0,,,
4.0,Du lịch 7810101,15.0,,6850000.0,
5.0,Giáo dục Mầm non 7140201,23.1,,6850000.0,
6.0,Giáo dục Thể chất 7140206,18.0,,6850000.0,
7.0,Giáo dục Tiểu học 7140202,26.5,,6850000.0,
8.0,Kế toán 7340301,19.4,,6850000.0,
9.0,Kế toán 7340301,15.0,,,
10.0,Khoa học cây trồng 7620110,15.0,,8200000.0,
11.0,Kiểm toán 7340302,15.0,,6850000.0,
12.0,Kinh tế 7310101,15.0,,6850000.0,
13.0,Kỹ thuật xây dựng 7580201,15.0,,8200000.0,
14.0,Kỹ thuật điện 7520201,15.0,,8200000.0,
15.0,Lâm học 7620201,15.0,,8200000.0,
16.0,Ngành Luật 7380101,17.5,,6850000.0,
17.0,Ngôn ngữ Anh 7220201,16.7,,6850000.0,
18.0,Quản lý đất đai 7850103,15.0,,6850000.0,
19.0,Quản trị doanh nghiệp 7340101,16.15,,6850000.0,
20.0,Quản lý tài nguyên và môi trường 7850101,15.0,,6850000.0,
21.0,Sư phạm Hóa học 7140212,24.35,,,
22.0,Sư phạm Ngữ văn (Chất lượng cao) 7140217CLC,39.92,,,
23.0,Sư phạm Ngữ văn 7140217,27.5,,,
24.0,Sư phạm Tiếng Anh 7140231,24.2,,,
25.0,Sư phạm Toán học 7140209,23.85,,,
26.0,Sư phạm Lịch sử (Chất lượng cao) 7140218CLC,39.92,,,
27.0,Sư phạm Sinh học 7140213,19.0,,,
28.0,Sư phạm Toán học (Chất lượng cao) 7140209CLC,35.43,,,
29.0,Sư phạm Địa lý 7140219,27.5,,,
30.0,Sư phạm Vật lý 7140211,23.55,,,
31.0,Sư phạm Lịch sử 7140218,29.75,,,
32.0,Sư phạm khoa học tự nhiên 7140247,19.0,,,
33.0,Sư phạm Tin học (Chuyên ngành Tin học – Công nghệ Tiểu học) 7140210,19.2,,,
34.0,Tài chính – Ngân hàng 7340201,17.1,,6850000.0,
35.0,Tâm lý học 7310401,15.0,,6850000.0,
36.0,Việt Nam học 7310630D,15.0,,6850000.0,
