STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kĩ thuật cơ khí C510201,12.0,,,
2.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.0,,,
3.0,Công nghệ thông tin C480201,12.0,,,
4.0,Công nghệ kỹ thuật ô tô C510205,12.0,,,
5.0,"Công nghệ kĩ thuật điện, điện tử C510301",12.0,,,
6.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,15.0,,,
7.0,Dịch vụ pháp lí C380201,12.0,,,
8.0,Kế toán C340301,12.0,,,
9.0,Kế toán 7340301,15.0,,,
10.0,Kinh tế 7310101,15.0,,,
11.0,Quản trị kinh doanh C340101,12.0,,,
12.0,Quản trị doanh nghiệp 7340101,15.0,,,
13.0,Tài chính - Ngân hàng C340201,12.0,,,
14.0,Thư ký văn phòng C340407,12.0,,,
