STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,An toàn thông tin 7480202,18.0,,,
2.0,Công nghệ kỹ thuật máy tính 7480108,16.5,,,
3.0,Công nghệ thông tin (Chất lượng cao): Chương trình đào tạo đạt chuẩn kiểm định quốc tế AUN-QA 7480201_CLC,16.5,,,
4.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,16.0,,,
5.0,Công nghệ truyền thông 7320106,17.0,,,
6.0,"Công nghệ kỹ thuật điện, điện tử 7510301",16.0,,,
7.0,Công nghệ thông tin quốc tế 7480201_QT,16.5,,,
8.0,Công nghệ ô tô và giao thông thông minh 7510212,16.0,,,
9.0,Công nghệ thông tin 7480201,16.0,,,
10.0,Điện tử - viễn thông 7510302,17.0,,,
11.0,Hệ thống thông tin 7480104,16.5,,,
12.0,Hệ thống thông tin 7340405,18.5,,,
13.0,Khoa học máy tính 7480101,16.5,,,
14.0,Kinh tế tài chính 7310109 (trước 2023),17.5,,,
15.0,Kỹ thuật phần mềm (CT đào tạo liên kết quốc tế) 7480103_KNU,19.5,,,
16.0,Kỹ thuật cơ điện tử thông minh và robot 7520119,16.0,,,
17.0,Kỹ thuật phần mềm 7480103,16.0,,,
18.0,Kỹ thuật y sinh 7520212,16.5,,,
19.0,Mạng máy tính và truyền thông dữ liệu 7480102,16.5,,,
20.0,Marketing số 7340122_TD,17.0,,,
21.0,Quản trị văn phòng 7340406,16.0,,,
22.0,Thiết kế đồ họa 7210403,16.5,,,
23.0,Thương mại điện tử 7340122,17.0,,,
24.0,Truyền thông đa phương tiện 7320104,16.0,,,
