STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Kế toán 7340301,18.0,"A00, A01, D01, D07",12000000.0,
2.0,Kinh tế đầu tư 7310104,17.0,"A00, A01, C04, D01",12000000.0,
3.0,Kinh tế 7310101,17.0,"A00, A01, C04, D01",12000000.0,
4.0,Kinh tế phát triển 7310105,17.0,"A00, A01, C04, D01",12000000.0,
5.0,Logistics và Quản lý chuỗi cung ứng 7510605,19.0,"A00, A01, C01, D01",12000000.0,
6.0,Luật kinh tế 7380107,18.0,"A00, C00, D01, D14",12000000.0,
7.0,Marketing và Truyền thông 7900102,,,60000000.0,
8.0,Marketing 7340115,18.5,"A00, A01, C04, D01",12000000.0,
9.0,Marketing (Quản trị Marketing - chương trình dạy và học bằng tiếng Anh) 7340115-TA,20.0,"A00, A01, C04, D01",15000000.0,
10.0,Ngành Kinh doanh quốc tế 7340120,17.0,"A00, A01, C04, D01",12000000.0,
11.0,Quản trị và An ninh 7900189,,,70000000.0,
12.0,Quản trị dịch vụ du lịch và lữ hành - chương trình dạy và học bằng tiếng Anh 7810103-TA,20.0,"A00, A01, C04, D01",15000000.0,
13.0,Quản trị dịch vụ du lịch và lữ hành 7810103,18.0,"A00, C00, C04, D01",12000000.0,
14.0,Quản trị kinh doanh - chương trình dạy và học bằng tiếng Anh 7340101-TA,20.0,"A00, A01, C01, D01",15000000.0,
15.0,Quản lý công 7340403,17.0,"A00, A01, C01, D01",12000000.0,
16.0,Quản trị Doanh nghiệp và Công nghệ 7900101,,,70000000.0,
17.0,Quản trị Nhân lực và Nhân tài 7900103,,,60000000.0,
18.0,Quản trị nhân lực 7340404,18.0,"A00, C00, D01, D14",12000000.0,
19.0,Quản trị Kinh doanh 7340101,18.5,"A00, A01, C04, D01",12000000.0,
20.0,Tài chính – Ngân hàng - chương trình dạy và học bằng tiếng Anh 7340201-TA,20.0,"A00, A01, C01, D01",15000000.0,
21.0,Tài chính – Ngân hàng 7340201,18.0,"A00, A01, C01, D01",12000000.0,
