STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật ô tô 7510205,15.5,,,
2.0,Công nghệ chế tạo máy 7510202,15.5,,,
3.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.5,,,
4.0,Kinh tế công nghiệp 7510604,15.5,,,
5.0,Kỹ thuật Cơ khí(Chương trình tiên tiến) 7905218,15.5,,,
6.0,Kỹ thuật cơ điện tử 7520114,15.5,,,
7.0,Kỹ thuật máy tính 7480106,15.5,,,
8.0,Kỹ thuật xây dựng 7580201,15.5,,,
9.0,Kỹ thuật cơ khí 7520103,15.5,,,
10.0,Kỹ thuật điện 7520201,15.5,,,
11.0,Kỹ thuật Điện 7905228,15.5,,,
12.0,Kỹ thuật cơ khí động lực 7520116,,,,
13.0,Ngành Kỹ thuật điện tử truyền thông 7520207,15.5,,,
14.0,Ngành Kỹ thuật môi trường 7520320,15.5,,,
15.0,Ngành Kỹ thuật điều khiển & Tự động hóa 7520216,15.5,,,
16.0,Ngôn ngữ Anh 7220201,15.5,,,
17.0,Quản lý công nghiệp 7510601,15.5,,,
