STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Giáo dục Tiểu học 7140202,21.25,,,
2.0,Giáo dục học 7140101,17.75,,,
3.0,Giáo dục Chính trị 7140205,19.0,,,
4.0,Sư phạm Hóa học 7140212,20.25,,,
5.0,Sư phạm Ngữ văn 7140217,20.75,,,
6.0,Sư phạm Toán học 7140209,21.25,,,
7.0,Sư phạm Sinh học 7140213,18.75,,,
8.0,Sư phạm Địa lý 7140219,20.75,,,
9.0,Sư phạm Vật lý 7140211,20.25,,,
10.0,Sư phạm Lịch sử 7140218,20.0,,,
11.0,Sư phạm Tiếng Anh 7140231,26.25,,,
12.0,Sư phạm Tin học (Chuyên ngành Tin học – Công nghệ Tiểu học) 7140210,17.25,,,
