STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Điều dưỡng 7720301,21.8,"B00, D07, D08",36000000.0,
2.0,Dược học 7720201,,,46000000.0,
3.0,Dược học 7720201,24.75,"B00, D07, D08",46000000.0,
4.0,Hộ sinh 7720302,19.5,"B00, D07, D08",36000000.0,
5.0,Kỹ thuật xét nghiệm y học 7720601,,,36000000.0,
6.0,Kỹ thuật xét nghiệm y học 7720601,24.0,"B00, D07, D08",36000000.0,
7.0,Kỹ thuật hình ảnh y học 7720602,,,36000000.0,
8.0,Kỹ thuật phục hồi chức năng 7720603,20.0,"B00, D07, D08",36000000.0,
9.0,Kỹ thuật hình ảnh y học 7720602,20.0,"B00, D07, D08",36000000.0,
10.0,Răng- Hàm -Mặt 7720501,26.35,"B00, D07, D08",46000000.0,
11.0,Răng- Hàm -Mặt 7720501,,,46000000.0,
12.0,Y học dự phòng 7720110,21.0,"B00, D07, D08",46000000.0,
13.0,Y khoa 7720101,,,46000000.0,
14.0,Y khoa 7720101,26.25,"B00, D07, D08",46000000.0,
