STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Âm nhạc học 7210201,15.0,N00,,
2.0,Bảo vệ thực vật 7620112,15.0,"A02, B00, D90",,
3.0,Biểu diễn nhạc cụ truyền thống 7210210,15.0,N00,,
4.0,Chính trị học 7310201,15.0,"C00, C19, C20, D01",,
5.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,15.0,"A00, A01, C01, D01",,
6.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,15.0,"A00, A01, C01, D90",,
7.0,Công nghệ thông tin bằng tiếng Anh TA7480201,15.0,A00,,
8.0,Công nghệ kỹ thuật hoá học 7510401,15.0,"A00, B00, D07",,
9.0,Công nghệ kỹ thuật ô tô 7510205,18.0,"A00, A01, C01, D01",,
10.0,Công nghệ sinh học 7420201,15.0,"A00, B00, B08, D90",,
11.0,Công nghệ thực phẩm 7540101,15.0,"A00, B00, D07, D90",,
12.0,Công nghệ kỹ thuật xây dựng dân dụng và công nghiệp 7510102,15.0,"A00, A01, C01, D01",,
13.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.0,"A00, A01, C01, D90",,
14.0,Công tác xã hội 7760101,15.0,"C00, C04, D66, D78",,
15.0,Công nghệ thông tin 7480201,15.0,"A00, A01, C01, D07",,
16.0,ĐH Nuôi trồng thủy sản 7620301,15.0,"A02, B00, B08, D90",,
17.0,Điều dưỡng 7720301,19.0,"B00, B08",,
18.0,Dược học 7720201,21.0,"A00, B00",,
19.0,Hoá dược 7720203,15.0,"A00, B00, D07",,
20.0,Kế toán 7340301,15.0,"A00, A01, C01, D01",,
21.0,Kinh tế 7310101,15.0,"A00, A01, C01, D01",,
22.0,Kỹ thuật hình ảnh y học 7720602,19.0,"A00, B00",,
23.0,Kỹ thuật xây dựng công trình giao thông 7580205,15.0,"A00, A01, C01, D01",,
24.0,Kỹ thuật phục hồi chức năng 7720603,19.0,"A00, B00",,
25.0,Kỹ thuật xét nghiệm y học 7720601,19.0,"A00, B00",,
26.0,Logistics và Quản lý chuỗi cung ứng 7510605,18.0,"A00, C14, D01, D84",,
27.0,Ngành Luật 7380101,15.0,"A00, A01, C00, D01",,
28.0,Ngành Kỹ thuật môi trường 7520320,15.0,"A01, A02, B00, B08",,
29.0,Ngôn ngữ Anh 7220201,15.0,"D01, D09, D14",,
30.0,Ngôn ngữ Khmer 7220106,15.0,"C00, D01, D14",,
31.0,Ngôn ngữ Trung Quốc 7220204,18.25,"D01, D09, D14",,
32.0,Nông nghiệp 7620101,15.0,"A02, B00, D90",,
33.0,Quản trị kinh doanh bằng tiếng Anh TA7340101,15.0,A00,,
34.0,Quản lý nhà nước 7310205,15.0,"C00, C04, D01, D14",,
35.0,Quản trị Kinh doanh 7340101,15.0,"A00, C01, D01",,
36.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.0,"C00, C04, D01, D15",,
37.0,Quản lý tài nguyên và môi trường 7850101,15.0,"A00, B00, B02, B08",,
38.0,Quản trị văn phòng 7340406,15.0,"C00, C04, D01, D14",,
39.0,Quản lý thể dục thể thao 7810301,20.0,"C00, C14, C19, D78",,
40.0,Răng- Hàm -Mặt 7720501,24.62,"B00, B08",,
41.0,Tài chính – Ngân hàng 7340201,15.0,"A00, A01, C01, D01",,
42.0,Thú y 7640101,15.0,"A02, B00, B08, D90",,
43.0,Thương mại điện tử 7340122,15.0,"A00, A01, C14, C15",,
44.0,Trí tuệ nhân tạo 7480107,15.0,"A00, A01, C01, D07",,
45.0,Văn hoá học 7229040,15.0,"C00, D14",,
46.0,Y tế công cộng 7720701,19.0,"A00, B00",,
47.0,Y học dự phòng 7720110,19.0,"B00, B08",,
48.0,Y khoa 7720101,25.0,"B00, B08",,
