STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,15.0,,,
2.0,Công tác xã hội 7760101,15.0,,,
3.0,Điều dưỡng 7720301,19.0,,,
4.0,Dược học 7720201,21.0,,,
5.0,Giáo dục Mầm non 7140201,19.0,,,
6.0,Giáo dục Mầm non 51140201,17.0,,,
7.0,Giáo dục Tiểu học 7140202,23.94,,,
8.0,Kế toán 7340301,15.0,,,
9.0,Khoa học cây trồng 7620110,15.0,,,
10.0,Lâm sinh 7620205,15.0,,,
11.0,Quản lý văn hoá 7229042,15.0,,,
12.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.0,,,
13.0,Sư phạm Ngữ văn 7140217,24.5,,,
14.0,Sư phạm Sinh học 7140213,19.0,,,
15.0,Sư phạm khoa học tự nhiên 7140247,19.0,,,
16.0,Sư phạm Toán học 7140209,20.45,,,
