STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Cấp thoát nước 7110104,15.0,,,
2.0,Công nghệ kĩ thuật công trình xây dựng C510102,12.0,,,
3.0,Công nghệ kĩ thuật tài nguyên nước C510405,12.0,,,
4.0,Công nghệ kĩ thuật kiến trúc C510101,12.0,,,
5.0,Công nghệ kỹ thuật giao thong C510104,12.0,,,
6.0,Kế toán C340301,12.0,,,
7.0,Kiến trúc cảnh quan 7580102,15.0,,,
8.0,Kỹ thuật xây dựng công trình giao thông 7580205,15.0,,,
9.0,Kỹ thuật xây dựng 7580201,15.0,,,
10.0,Quản lý xây dựng 7580302,15.0,,,
11.0,Quy hoạch vùng và đô thị 7580105,15.0,,,
