STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,An toàn thông tin 7480202,22.0,,,
2.0,Chính trị học 7310201,23.5,,,
3.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,15.0,,,
4.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.0,,,
5.0,Công nghệ thực phẩm 7540101,15.0,,,
6.0,Công nghệ may 7540204,23.5,,,
7.0,Công tác xã hội 7760101,15.0,,,
8.0,Công nghệ sinh học 7420201,15.0,,,
9.0,Công nghệ kỹ thuật cơ điện tử 7510203,15.0,,,
10.0,Công nghệ chế tạo máy 7510202,15.0,,,
11.0,Công nghệ Kỹ thuật Giao thông 7510104,22.0,,,
12.0,Công nghệ kỹ thuật nhiệt 7510206,15.0,,,
13.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,15.0,,,
14.0,Công nghệ thông tin 7480201,15.0,,,
15.0,Công nghệ kỹ thuật ô tô 7510205,16.25,,,
16.0,Điện tử - viễn thông 7510302,15.0,,,
17.0,Du lịch 7810101,15.0,,,
18.0,Sư phạm Kỹ thuật công nghiệp 7140214,23.0,,,
19.0,Sư phạm công nghệ 7140246,23.0,,,
20.0,Thú y 7640101,15.0,,,
