STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,15.0,,,
2.0,Công nghệ kỹ thuật ô tô 7510205,15.0,,,
3.0,Điều dưỡng 7720301,19.0,,,
4.0,Kế toán 7340301,15.0,,,
5.0,Logistics và Quản lý chuỗi cung ứng 7510605,15.0,,,
6.0,Luật kinh tế 7380107,15.0,,,
7.0,Ngôn ngữ Hàn Quốc 7220210,15.0,,,
8.0,Ngôn ngữ Anh 7220201,15.0,,,
9.0,Ngôn ngữ Trung Quốc 7220204,15.0,,,
10.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.0,,,
11.0,Quản trị doanh nghiệp 7340101,15.0,,,
12.0,Tài chính – Ngân hàng 7340201,15.0,,,
13.0,Thương mại điện tử 7340122,15.0,,,
14.0,Truyền thông đa phương tiện 7320104,15.0,,,
