STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,25.37,,11700000.0,
2.0,Giáo dục Mầm non 7140201,33.43,,9800000.0,
3.0,Giáo dục Công dân 7140204,34.92,,9800000.0,
4.0,Giáo dục Tiểu học 7140202,36.62,,9800000.0,
5.0,Giáo dục Thể chất 7140206,32.83,,9800000.0,
6.0,Ngôn ngữ Trung Quốc 7220204,32.75,,9800000.0,
7.0,Ngôn ngữ Anh 7220201,32.73,,9800000.0,
8.0,Sư phạm Lịch sử 7140218,38.67,,9800000.0,
9.0,Sư phạm Tin học (Chuyên ngành Tin học – Công nghệ Tiểu học) 7140210,24.3,,9800000.0,
10.0,Sư phạm Tiếng Anh 7140231,35.28,,9800000.0,
11.0,Sư phạm Vật lý 7140211,34.03,,9800000.0,
12.0,Sư phạm Sinh học 7140213,31.57,,9800000.0,
13.0,Sư phạm Ngữ văn 7140217,37.17,,9800000.0,
14.0,Sư phạm Toán học 7140209,34.95,,9800000.0,
15.0,Sư phạm Hóa học 7140212,34.07,,9800000.0,
16.0,Việt Nam học 7310630D,25.5,,9800000.0,
