STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Biên dịch - phiên dịch 2020101,,,,
2.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,,,,
3.0,Công nghệ phần mềm 8020101,,,,
4.0,Công nghệ thông tin 7480201,15.5,,,Xét học bạ điểm trung bình chung cả năm lớp 12 = 6.0 điểm
5.0,Công nghệ thực phẩm 7540101,15.5,,,Xét học bạ điểm trung bình chung cả năm lớp 12 = 6.0 điểm
6.0,"Công nghệ kỹ thuật điện, điện tử 7510301",,,,
7.0,Điều dưỡng chăm sóc người cao tuổi 2030103,15.5,,,Xét học bạ điểm trung bình chung cả năm lớp 12 = 6.0 điểm
8.0,Điều dưỡng sản phụ khoa 2030102,15.5,,,Xét học bạ điểm trung bình chung cả năm lớp 12 = 6.0 điểm
9.0,Điều dưỡng đa khoa 2030101,15.5,,,Xét học bạ điểm trung bình chung cả năm lớp 12 = 6.0 điểm
10.0,Dinh dưỡng 7720401,,,,
11.0,Giáo dục Tiểu học 7140202,,,,
12.0,Giáo dục Mầm non 7140201,,,,
13.0,Kế toán 4030101,,,,
14.0,Kiểm toán 4030102,,,,
15.0,Kiến trúc 7580101,,,,
16.0,Luật kinh tế 7380107,,,,
17.0,Lưu trữ học & Quản trị văn phòng 4040601,,,,
18.0,Ngôn ngữ Anh 7220201,15.5,,,Xét học bạ điểm trung bình chung cả năm lớp 12 = 6.0 điểm
19.0,Quản trị nhân lực 7340404,,,,
20.0,Quản trị truyền thông tích hợp 4010106,,,,
21.0,Quản trị hành chính-văn thư 4040603,,,,
22.0,Quản trị marketing 4010102,,,,
23.0,Quản trị kinh doanh 4010101,,,,
24.0,Quản trị mạng và An ninh mạng 8020105,,,,
25.0,Quản trị kinh doanh du lịch và lữ hành 4010104,,,,
26.0,Quản trị kinh doanh khách sạn - Nhà hàng 4010103,,,,
27.0,Tài chính doanh nghiệp 4020102,,,,
28.0,Tài chính ngân hàng 4020101,,,,
29.0,Tâm lý học 7310401,,,,
30.0,Thiết kế đồ họa 8020103,,,,
31.0,Tiếng Anh – Du lịch 2020102,,,,
32.0,Xây dựng cầu đường 1010302,,,,
33.0,Xây dựng dân dụng & công nghiệp 1010301,,,,
