STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Đông phương học 7310608,21.58,,,
2.0,Ngôn ngữ Nga 7220202,15.03,,,
3.0,Ngôn ngữ Thái Lan 7220214,22.41,,,
4.0,Ngôn ngữ Trung Quốc CLC 7220204CLC,23.49,,,
5.0,Ngôn ngữ Trung Quốc 7220204,24.53,,,
6.0,Ngôn ngữ Pháp 7220203,20.05,,,
7.0,Ngôn ngữ Anh (Chất lượng cao) 7220201CLC,22.05,,,
8.0,Ngôn ngữ Anh 7220201,23.64,,,
9.0,Ngôn ngữ Hàn Quốc 7220210,25.41,,,
10.0,Ngôn ngữ Hàn Quốc CLC 7220210CLC,24.39,,,
11.0,Ngôn ngữ Nhật 7220209,24.03,,,
12.0,Ngôn ngữ Nhật CLC 7220209CLC,23.88,,,
13.0,Quốc tế học CLC 7310601CLC,21.04,,,
14.0,Quốc tế học 7310601,21.76,,,
15.0,Sư phạm Tiếng Pháp 7140233,17.72,,,
16.0,Sư phạm Tiếng Anh 7140231,26.4,,,
17.0,Sư phạm Tiếng Trung Quốc 7140234,24.15,,,
