STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chương trình tiên tiến ngành Điện tử viễn thông 7905206,15.3,,,
2.0,Chương trình tiên tiến ngành Hệ thống nhúng 7905216,15.04,,,
3.0,Chương trình tiên tiến ngành Hệ thống nhúng PFIEV,15.23,,,
4.0,Công nghệ sinh học 7420201,19.5,,,
5.0,Công nghệ thông tin (chương trình chất lượng cao) 7480201CLC,20.6,,,
6.0,Công nghệ chế tạo máy 7510202,19.0,,,
7.0,Công nghệ kỹ thuật vật liệu xây dựng 7510105,16.5,,,
8.0,Công nghệ dầu khí và khai thác dầu 7510701CLC,15.0,,,
9.0,Công nghệ thực phẩm (Chất lượng cao) 7540101CLC,16.0,,,
10.0,Công nghệ thông tin (đặc thù) 7480201DT,20.0,,,
11.0,Kiến trúc (Chất lượng cao) 7580101CLC,18.25,,,
12.0,Kinh tế xây dựng (Chất lượng cao) 7580301CLC,15.05,,,
13.0,KT xây dựng – c.ngành XD dân dụng & công nghiệp 7580201A,19.0,,,
14.0,Kỹ thuật hệ thống công nghiệp 7520118,,,,
15.0,Kỹ thuật điều khiển và tự động hóa (Chất lượng cao) 7520216CLC,17.75,,,
16.0,Kỹ thuật xây dựng ( Chất lượng cao) 7580201CLC,15.05,,,
17.0,Kỹ thuật điện tử & viễn thông (CLC) 7520207CLC,15.5,,,
18.0,Kỹ thuật cơ sở hạ tầng 7580210,,,,
19.0,Kỹ thuật hóa học 7520301,17.0,,,
20.0,Kỹ thuật cơ khí - chuyên ngành Cơ khí động lực (CLC) 7520103CLC,15.0,,,
21.0,Kỹ thuật xây dựng công trình giao thông (CLC) 7580205CLC,23.0,,,
22.0,Kỹ thuật nhiệt (CLC) 7520115CLC,15.05,,,
23.0,Kỹ thuật cơ điện tử (Chất lượng cao) 7520114CLC,15.5,,,
24.0,Ngành Kỹ thuật tàu thủy 7520122,15.3,,,
25.0,Quản lý tài nguyên và môi trường 7850101,15.5,,,
26.0,Quản lý công nghiệp 7510601,18.5,,,
