STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ tài chính 7340205,24.25,,,
2.0,Hệ thống thông tin 7340405,23.75,,,
3.0,Kế toán 7340301,23.85,,,
4.0,Khoa học dữ liệu (Data Science) 7460108,24.6,,,
5.0,Kiểm toán 7340302,24.25,,,
6.0,Kinh doanh thương mại 7340121,26.0,,,
7.0,Kinh tế 7310101,24.5,,,
8.0,Luật kinh tế 7380107,25.25,,,
9.0,Marketing (dạy bằng tiếng Anh) 7340115,25.75,,,
10.0,Ngành Luật 7380101,23.5,,,
11.0,Ngành Kinh doanh quốc tế 7340120,26.5,,,
12.0,Quản trị doanh nghiệp 7340101,24.75,,,
13.0,Quản lý nhà nước 7310205,23.0,,,
14.0,Quản trị khách sạn 7810201,23.5,,,
15.0,Quản trị dịch vụ du lịch và lữ hành 7810103,24.5,,,
16.0,Quản trị nhân lực 7340404,24.75,,,
17.0,Tài chính – Ngân hàng 7340201,24.0,,,
18.0,Thống kê kinh tế 7310107,23.5,,,
19.0,Thương mại điện tử 7340122,26.5,,,
