STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Báo chí 7320101,20.0,,,Điều kiện phụ: TTNV <= 8
2.0,Báo chí (Chất lượng cao) 7320101CLC,20.15,,,Điều kiện phụ: TTNV <= 3
3.0,Công tác xã hội 7760101,15.0,,,Điều kiện phụ: TTNV <= 5
4.0,Công nghệ thông tin (đặc thù) 7480201DT,16.55,,,Điều kiện phụ: TTNV <= 1
5.0,Công nghệ sinh học 7420201,15.2,,,Điều kiện phụ: TTNV <= 4
6.0,Công nghệ thông tin (chương trình chất lượng cao) 7480201CLC,15.1,,,Điều kiện phụ: TTNV <= 1
7.0,Công nghệ thông tin 7480201,15.05,,,Điều kiện phụ: TTNV <= 2
8.0,ĐH Toán ứng dụng 7460112,18.5,,,Điều kiện phụ: TTNV <= 2
9.0,Địa lý học 7310501,15.0,,,Điều kiện phụ: TTNV <= 3
10.0,Giáo dục Chính trị 7140205,18.0,,,Điều kiện phụ: TTNV <= 2
11.0,Giáo dục Mầm non 7140201,18.35,,,Điều kiện phụ: TTNV <= 1
12.0,Giáo dục Công dân 7140204,18.0,,,TTNV <=2
13.0,Giáo dục Tiểu học 7140202,18.0,,,Điều kiện phụ: TTNV <= 1
14.0,Hóa học 7440112,15.0,,,Điều kiện phụ: TTNV <= 4
15.0,Hóa học CLC 7440112CLC,15.5,,,Điều kiện phụ: TTNV <= 2
16.0,Khoa học môi trường 7440301,18.45,,,Điều kiện phụ: TTNV <= 2
17.0,Lịch sử 7229010,15.75,,,Điều kiện phụ: TTNV <= 3
18.0,Quản lý tài nguyên và môi trường (Chất lượng cao) 7850101CLC,18.45,,,Điều kiện phụ: TTNV <= 6
19.0,Quản lý tài nguyên và môi trường 7850101,16.05,,,Điều kiện phụ: TTNV <= 2
20.0,Sư phạm khoa học tự nhiên 7140247,18.05,,,TTNV <= 4
21.0,Sư phạm Tin học và Công nghệ Tiểu học 7140250,18.15,,,TTNV <= 1
22.0,Sư phạm Lịch sử 7140218,18.0,,,Điều kiện phụ: TTNV <= 5
23.0,Sư phạm Tin học (Chuyên ngành Tin học – Công nghệ Tiểu học) 7140210,19.4,,,Điều kiện phụ: TTNV <= 1
24.0,Sư phạm Hóa học 7140212,18.05,,,Điều kiện phụ: TTNV <= 2
25.0,Sư phạm Toán học 7140209,19.0,,,Điều kiện phụ: TTNV <= 5
26.0,Sư phạm Vật lý 7140211,18.0,,,Điều kiện phụ: TTNV <= 1
27.0,Sư phạm Lịch sử - Địa lý 7140249,18.0,,,TTNV <= 2
28.0,Sư phạm Địa lý 7140219,18.0,,,Điều kiện phụ: TTNV <= 3
29.0,Sư phạm Ngữ văn 7140217,19.5,,,Điều kiện phụ: TTNV <= 3
30.0,Sư phạm Âm nhạc 7140221,23.55,,,"Điều kiện phụ: TTNV <= 1, Năng khiếu hệ số 2"
31.0,Sư phạm Sinh học 7140213,18.3,,,Điều kiện phụ: TTNV <= 1
32.0,Tâm lý học (Chất lượng cao) 7310401CLC,15.25,,,Điều kiện phụ: TTNV <= 3
33.0,Tâm lý học 7310401,15.0,,,Điều kiện phụ: TTNV <= 4
34.0,Văn học 7229030,15.0,,,Điều kiện phụ: TTNV <= 2
35.0,Văn hoá học 7229040,15.0,,,Điều kiện phụ: TTNV <= 2
36.0,Vật lý học 7440102,17.0,,,Điều kiện phụ: TTNV <= 4
37.0,Việt Nam học CLC 7310630CLC,15.0,,,Điều kiện phụ: TTNV <= 8
38.0,Việt Nam học 7310630D,18.0,,,Điều kiện phụ: TTNV
