STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật Môi trường 7510406,15.7,,,
2.0,Công nghệ kỹ thuật nhiệt 7510206,18.65,,,
3.0,Công nghệ thông tin 7480201,23.79,,,
4.0,Công nghệ kỹ thuật xây dựng 7510103,15.0,,,
5.0,"Công nghệ kĩ thuật điện, điện tử 7510301B",15.5,,,
6.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,19.7,,,
7.0,Công nghệ kỹ thuật điện - Điện tử (hệ Chất lượng cao tiếng Anh) 7510301A,20.7,,,
8.0,Công nghệ Kỹ thuật Giao thông 7510104,15.35,,,
9.0,Công nghệ kỹ thuật kiến trúc 7510101,19.3,,,
10.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,22.25,,,
11.0,Công nghệ vật liệu 7510402,15.45,,,
12.0,Công nghệ kỹ thuật ô tô 7510205,22.65,,,
13.0,Công nghệ kỹ thuật ô tô (đào tạo 2 năm đầu tại Kon Tum) 7510205KT,16.55,,,
14.0,Công nghệ kỹ thuật hoá học 7510401,19.65,,,
15.0,Công nghệ kỹ thuật cơ điện tử 7510203,21.2,,,
16.0,Điện tử - viễn thông 7510302,21.3,,,
17.0,Kỹ thuật cơ sở hạ tầng 7580210,15.4,,,
18.0,Kỹ thuật thực phẩm 7540102,16.45,,,
19.0,Sư phạm Kỹ thuật công nghiệp 7140214,21.7,,,
