STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.0,,,"Xét tuyển theo học bạ 18,2"
2.0,Công nghệ thông tin 7480201,15.0,,,"Xét tuyển theo học bạ 18,1"
3.0,Kế toán 7340301,15.0,,,"Xét tuyển theo học bạ 18,0"
4.0,Kiến trúc 7580101,19.0,,,"Xét tuyển theo học bạ 21,0"
5.0,Kỹ thuật xây dựng công trình giao thông 7580205,15.0,,,"Xét tuyển theo học bạ 18,0"
6.0,Kỹ thuật xây dựng 7580201,15.0,,,"Xét tuyển theo học bạ 18,0"
7.0,Kỹ thuật cơ sở hạ tầng 7580210,,,,
8.0,Ngôn ngữ Trung Quốc 7220204,,,,
9.0,Ngôn ngữ Anh 7220201,,,,
10.0,Quản trị dịch vụ du lịch và lữ hành 7810103,,,,
11.0,Quản trị doanh nghiệp 7340101,15.0,,,"Xét tuyển theo học bạ 18,0"
12.0,Quản lý xây dựng 7580302,15.0,,,"Xét tuyển theo học bạ 18,0"
13.0,Quy hoạch vùng và đô thị 7580105,,,,
14.0,Tài chính – Ngân hàng 7340201,15.0,,,"Xét tuyển theo học bạ 18,0"
15.0,Thiết kế nội thất 7580108,18.0,,,"Xét tuyển theo học bạ 19,5 (đối với tổ hợp 4)"
16.0,Thiết kế đồ họa 7210403,,,,
