STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin (chuyên ngành Khoa học dữ liệu và Trí tuệ nhân tạo) 7480201DS,24.0,,14500000.0,
2.0,Công nghệ thông tin 7480201,25.0,,14500000.0,
3.0,Công nghệ kỹ thuật máy tính 7480108,23.0,,14500000.0,
4.0,Công nghệ thông tin (đặc thù) 7480201DT,24.0,,14500000.0,
5.0,Công nghệ thông tin - Chuyên ngành Mạng và An toàn thông tin (kỹ sư) 7480201NS,23.0,,14500000.0,
6.0,Công nghệ thông tin (chuyên ngành Thiết kế Mỹ thuật số) 7480201DA,23.0,,14500000.0,
7.0,Công nghệ kỹ thuật máy tính (cử nhân) 7480108B,23.0,,14500000.0,
8.0,Công nghệ thông tin 7480201B,24.0,,14500000.0,
9.0,Quản trị kinh doanh - Chuyên ngành Marketing kỹ thuật số 7340101DM,24.0,,12500000.0,
10.0,Quản trị kinh doanh (chuyên ngành Quản trị dịch vụ du lịch và lữ hành số) 7340101ET,23.0,,12500000.0,
11.0,Quản trị kinh doanh - Chuyên ngành Quản trị dự án Công nghệ thông tin 7340101IM,20.05,,12500000.0,
12.0,Quản trị kinh doanh - Chuyên ngành Quản trị tài chính số 7340101EF,22.0,,12500000.0,
13.0,Quản trị kinh doanh (chuyên ngành Quản trị Logistics và chuỗi cung ứng số) 7340101EL,25.0,,12500000.0,
14.0,Quản trị doanh nghiệp 7340101,24.0,,12500000.0,
