STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Điều dưỡng đa khoa 7720301A,22.25,,,SI >= 7;TTNV <= 3
2.0,Điều dưỡng gây mê hồi sức 7720301C,21.75,,,SI >= 6.25;TTNV <= 1
3.0,Điều dưỡng nha khoa 7720301B,21.0,,,SI >= 7;TTNV <= 3
4.0,Điều dưỡng phụ sản 7720301D,,,,
5.0,Dược học 7720201,26.0,,,HO >= 8.25;TTNV <= 13
6.0,Kỹ thuật hình ảnh y học 7720602,23.75,,,SI >= 7.25;TTNV <= 2
7.0,Kỹ thuật phục hồi chức năng 7720603,23.5,,,SI >= 8.25;TTNV <= 3
8.0,Kỹ thuật xét nghiệm y học 7720601,24.5,,,SI >= 7.25;TTNV <= 2
9.0,Y khoa 7720101,27.25,,,SI >= 8.75;TTNV <= 3
10.0,Y tế công cộng 7720701,20.75,,,SI >= 6.5;TTNV <= 8
