STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Điều dưỡng gây mê hồi sức 7720301C,17.8,,,SI >= 4.5;TTNV <= 1
2.0,Điều dưỡng phụ sản 7720301D,17.5,,,SI >= 5;TTNV <= 4
3.0,Điều dưỡng nha khoa 7720301B,18.5,,,SI >= 6;TTNV <= 1
4.0,Điều dưỡng đa khoa 7720301A,18.5,,,SI >= 5;TTNV <= 1
5.0,Dược học 7720201,21.15,,,HO >= 6.25;TTNV <= 3
6.0,Kỹ thuật xét nghiệm y học 7720601,20.25,,,SI >= 6.75;TTNV <= 3
7.0,Kỹ thuật phục hồi chức năng 7720603,19.0,,,SI >= 5.5;TTNV <= 4
8.0,Kỹ thuật hình ảnh y học 7720602,19.5,,,SI >= 5.5;TTNV <= 9
9.0,Y tế công cộng 7720701,16.0,,,SI >= 5.25;TTNV <= 3
10.0,Y khoa 7720101,22.65,,,SI >= 6.25;TTNV <= 9
