STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo vệ thực vật 7620112M,15.0,,,
2.0,Bảo vệ thực vật 7620112B,17.5,,,
3.0,CĐ Kế toán C340301A,12.0,,,
4.0,CĐ Quản lý tài nguyên rừng C620211B,12.0,,,
5.0,CĐ Chăn nuôi C620105B,12.0,,,
6.0,CĐ Kế toán C340301D,12.0,,,
7.0,CĐ Quàn lý đất đai C850103A,12.0,,,
8.0,CĐ Quản trị kinh doanh C340101D,12.0,,,
9.0,CĐ Tài chính - Ngân hàng C340201D,12.0,,,
10.0,CĐ Lâm sinh C620205B,12.0,,,
11.0,CĐ Quản trị kinh doanh C340101A,12.0,,,
12.0,CĐ Tài chính - Ngân hàng C340201A,12.0,,,
13.0,CĐ Khoa học Cây trồng C620110B,12.0,,,
14.0,Chăn nuôi 7620105B,16.5,,,
15.0,Chăn nuôi 7620105M,15.0,,,
16.0,Công nghệ thông tin 7480201A,17.0,,,
17.0,Công nghệ sau thu hoạch 7540104M1,15.0,,,
18.0,Công nghệ kĩ thuật môi trường 7510406B,15.0,,,
19.0,Công nghệ sinh học (chất lượng cao) 7420201A,15.0,,,
20.0,Công nghệ kĩ thuật môi trường 7510406A,15.0,,,
21.0,Công nghệ sau thu hoạch 7540104M2,15.0,,,
22.0,Công nghệ sinh học 7420201B,17.0,,,
23.0,Công nghệ sau thu hoạch 7540104B,15.0,,,
24.0,Công nghệ sau thu hoạch 7540104A,15.0,,,
25.0,Điều dưỡng nha khoa (Thuộc nhóm ngành Điều dưỡng 52720501) 7720501B,22.0,,,
26.0,Giáo dục chính trị 7140205M1,18.0,,,
27.0,Giáo dục Tiều học 7140202M1,21.0,,,
28.0,Giáo dục Mầm non 7140201M1,27.5,,,
29.0,Giáo dục thể chất 7140206T,20.0,,,
30.0,Giáo dục Tiểu học 7140202C,24.0,,,
31.0,Giáo dục Đặc biệt 7140203D,17.25,,,
32.0,Giáo dục Tiểu học - Tiếng Jrai 7140203M2,17.5,,,
33.0,Giáo dục thể chất 7140206M,20.0,,,
34.0,Giáo dục Tiểu học 7140202A,22.25,,,
35.0,Giáo dục Đặc biệt 7140203C,21.25,,,
36.0,Giáo dục Tiểu học - Tiếng Jrai 7140203M1,22.75,,,
37.0,Giáo dục chính trị 7140205D,15.0,,,
38.0,Giáo dục Tiều học 7140202M,22.0,,,
39.0,Giáo dục Mầm non 7140201M,26.75,,,
40.0,Giáo dục chính trị 7140205C,18.25,,,
41.0,Kế toán (hệ Đại trà) 7340301D,15.0,,,
42.0,Kế toán 7340301A,18.0,,,
43.0,Khoa học Cây trồng 7620110B,16.5,,,
44.0,Khoa học Cây trồng 7620110M,15.0,,,
45.0,Kinh tế nông nghiệp 7620115D,15.0,,,
46.0,Kinh tế 7310101D,15.0,,,
47.0,Kinh tế nông nghiệp 7620115A,15.0,,,
48.0,Kinh tế (chuyên ngành Luật kinh tế) 7310101A,17.0,,,
49.0,Lâm sinh 7620205M,15.0,,,
50.0,Lâm sinh 7620205B,15.0,,,
51.0,Ngôn ngữ Anh (hệ Đại trà) 7220201D,19.0,,,
52.0,Quản lý tài nguyên rừng 7620211B,15.0,,,
53.0,Quản lý đất đai 7850103M,15.0,,,
54.0,Quản lý đất đai 7850103A,15.5,,,
55.0,Quản lý tài nguyên rừng 7620211M,15.0,,,
56.0,Quản trị kinh doanh (Chuyên ngành Quản trị Nhà hàng - Khách sạn) 7340101D,15.0,,,
57.0,Quản trị kinh doanh 7340101A,15.0,,,
58.0,Sinh học 7420101B,15.0,,,
59.0,Sư phạm Hóa học (đào tạo GV THPT) 7140212A,22.25,,,
60.0,Sư phạm Ngữ văn 7140217C,21.25,,,
61.0,Sư phạm Tiếng Anh 7I40231D,21.0,,,
62.0,Sư phạm Vật lý (đào tạo GV THPT) 7140211A,22.0,,,
63.0,Sư phạm Sinh học (đào tạo GV THCS) 7140213B,20.5,,,
64.0,Sư phạm tiểu học (sư phạm Tiếng Anh) 7140202D,20.75,,,
65.0,Sư phạm Toán học 7140209A,23.25,,,
66.0,Tài chính - Ngân hàng 7340201A,15.0,,,
67.0,Tài chính ngân hàng 7340201DLT,15.0,,,
68.0,Tài chính ngân hàng 7340201D,15.0,,,
69.0,Thú y 7640101B,20.0,,,
70.0,Thú y 7640101M,15.0,,,
71.0,Triết học 7220301D,15.0,,,
72.0,Triết học 7220301M,15.0,,,
73.0,Triết học 7220301C,15.0,,,
74.0,Triết học 7220301A,15.0,,,
75.0,Văn học 7220330C,15.0,,,
76.0,Xét nghiệm Y học 7720332B,22.5,,,
77.0,Y khoa (B) 7720101B,25.0,,,
78.0,Y đa khoa 7720101BLT,24.0,,,
