STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kĩ thuật hóa học C510401,12.0,,,
2.0,Công nghệ thông tin C480201,12.0,,,
3.0,Công nghệ thực phẩm 7540101,15.0,,,
4.0,Công nghệ kỹ thuật Môi trường 7510406,15.0,,,
5.0,Công nghệ thông tin 7480201,15.0,,,
6.0,Công nghệ chế tạo máy C510202,12.0,,,
7.0,Công nghệ kĩ thuật nhiệt C510206,12.0,,,
8.0,Công nghệ kỹ thuật ô tô C510205,12.0,,,
9.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.0,,,
10.0,Công nghệ sinh học 7420201,15.0,,,
11.0,"Công nghệ kĩ thuật điện, điện tử C510301",12.0,,,
12.0,Công nghệ sinh học C420201,12.0,,,
13.0,Công nghệ kỹ thuật hoá học 7510401,15.0,,,
14.0,Công nghệ kĩ thuật môi trường C510406,12.0,,,
15.0,Công nghệ kỹ thuật xây dựng C510103,12.0,,,
16.0,Công nghệ chế tạo máy 7510202,15.0,,,
17.0,Công nghệ kỹ thuật xây dựng 7510103,15.0,,,
18.0,Công nghệ thực phẩm C540102,12.0,,,
19.0,Công nghệ cơ điện tử C510203,12.0,,,
20.0,Công nghệ kỹ thuật ô tô 7510205,15.0,,,
21.0,Điều dưỡng C720501,12.0,,,
22.0,Giới và phát triển 7340103,15.0,,,
23.0,Kế toán 7340301,15.0,,,
24.0,Kế toán C340301,12.0,,,
25.0,Ngôn ngữ Anh 7220201,15.0,,,
26.0,Quản trị kinh doanh C340101,12.0,,,
27.0,Quản trị văn phòng C340406,12.0,,,
28.0,Quản trị dịch vụ du lịch và lữ hành C340103,12.0,,,
29.0,Tài chính – Ngân hàng 7340201,15.0,,,
30.0,Tài chính - Ngân hàng C340201,12.0,,,
31.0,Tiếng Anh C220201,12.0,,,
32.0,Việt Nam học C220113,12.0,,,
33.0,Xét nghiệm y học C720332,12.0,,,
34.0,Xét nghiệm y học 7720332,15.0,,,
